URL,Melting Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,-62°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,-62°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7413/xml?heading=Melting+Point,31.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7413/xml?heading=Melting+Point,31-32°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7413/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6101859/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5794768/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3571576/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3571576/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/91331/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7619/xml?heading=Melting+Point,85.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7619/xml?heading=Melting+Point,80 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7619/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/88303/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/101596969/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/157317/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/136170917/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/101148588/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/12968/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/61718/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/50258/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/139036604/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/14781/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6328250/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/13037/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/97433/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/175948/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/1549025/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/1272250/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/13398/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23290047/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/82056/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/79717/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/11146/xml?heading=Melting+Point,"MP: 55 °C (ALPHA), 64.5 °C (BETA'), 73 °C (BETA)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/11146/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3017783/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/26370/xml?heading=Melting+Point,"2804 °F (NIOSH, 2016)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/26370/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7728/xml?heading=Melting+Point,"-94.5 °F (USCG, 1999)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7728/xml?heading=Melting+Point,-70.9 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7728/xml?heading=Melting+Point,-70.3 °C (freezing point)
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7728/xml?heading=Melting+Point,-70.9°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7728/xml?heading=Melting+Point,-70 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7728/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7076215/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5755/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5755/xml?heading=Melting+Point,235 °C with some decomposition
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5755/xml?heading=Melting+Point,CRYSTALS FROM ETHANOL; MP: 266-273 °C /TEBUTATE/
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5755/xml?heading=Melting+Point,235°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5755/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/57677004/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/20431/xml?heading=Melting+Point,"455 to 460 °F (NTP, 1992)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/20431/xml?heading=Melting+Point,235-238 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/20431/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/167247/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/66357/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5794/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/11638/xml?heading=Melting+Point,-141.8 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/11638/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7713/xml?heading=Melting+Point,98.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7713/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/86261/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23675859/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/102269070/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/3121/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/9071/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/517658/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/197114/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5362721/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/169772/xml?heading=Melting+Point,NaN
