0,1,2,3
,[35256-85-0],,
,isopropalin,1.9 10−1×,Mackay et al. (2006d) V
,C15H23N3O4,,
,[33820-53-0],,
,metoprolol,4.7 ×105,HSDB (2015) Q 38
,C15H25NO3,,
,[37350-58-6],,
,"(3-methylphenyl)-carbamic acid,",1.2 ×107,HSDB (2015) V
,3-[(methoxycarbonyl)amino]phenyl,,
,ester,,
,C16H16N2O4,,
,(betanal),,
,[13684-63-4],,
,fenam,4.1×105,HSDB (2015) V
,C16H17NO,2.7×105,Mackay et al. (2006d) V
,[957-51-7],,
,difenoxuron,5.6 107×,MacBean (2012a) ?
,C16H18N2O3,,
,[14214-32-5],,
,butacarb,2.2 ×102,HSDB (2015) V
,C16H25NO2,,
,[2655-19-8],,
,oseltamivir,3.4×1010,HSDB (2015) Q 38
,C16H28N2O4,,
,[196618-13-0],,
,"N,N-bis(2-hydroxyethyl)dodecanamide",4.6 ×106,HSDB (2015) Q 38
,C16H33NO3,,
,[120-40-1],,
,1-[(2-methoxyphenyl)azo]-2-naphthol,9.0×104,HSDB (2015) Q 38
,C17H14N2O2,,
,[1229-55-6],,
,furalaxyl,1.1 ×104,MacBean (2012a) ?
,C17H19NO4,,
,[57646-30-7],,
,fenoxycarb,2.3×107,HSDB (2015) V
,C17H19NO4,1.2×104,Mackay et al. (2006d) V
,[79127-80-3],,
,bifenazate,1.0×10,MacBean (2012b) X 137
,C17H20N2O3,,
,[149877-41-8],,
,napropamide,1.2 104×,HSDB (2015) V
,C17H21NO2,,
,[15299-99-7],,
,padimate O,2.5,HSDB (2015) Q 182
,C17H27NO2,,
,[21245-02-3],,
,nadolol,7.0 ×108,HSDB (2015) Q 38
,C17H27NO4,,
,[42200-33-9],,
,"2,6-di-tert-butyl-4-",4.8 ×103,"Zhang et al. (2010) Q 107, 108"
,(dimethylaminomethyl)phenol,,
,C17H29NO,2.4×102,"Zhang et al. (2010) Q 107, 109"
,[88-27-7],1.3,"Zhang et al. (2010) Q 107, 110"
,,4.8×101,"Zhang et al. (2010) Q 107, 111"
,naptalam,>2.3×1010,MacBean (2012a) ?
,C18H13NO3,,
,[132-66-1],,
,citrus red 2,1.9 107×,HSDB (2015) Q 38
,C18H16N2O3,,
,[6358-53-8],,
,kresoxim-methyl,2.7×103,HSDB (2015) V
,C18H19NO4,,
,[143390-89-0],,
,dinocap,2.1×103,HSDB (2015) V
,C18H24N2O6,,
,[39300-45-3],,
,capsaicin,9.9×107,HSDB (2015) Q 38
,C18H27NO3,,
,[404-86-4],,
,(RS)-α-2-naphthoxypropionanilide,1.6×105,Hilal et al. (2008) Q
,C19H17NO2,,
,(naproanilide),,
,[52570-16-8],,
,phenylbutazone,1.5 103×,HSDB (2015) Q 38
,C19H20N2O2,,
,[50-33-9],,
,phenisopham,1.3×104,MacBean (2012a) ?
,C19H22N2O4,,
,[57375-63-0],,
,formoterol,1.1×10,HSDB (2015) Q 38
,C19H24N2O4,,
,[73573-87-2],,
,benalaxyl,8.3×101,Mackay et al. (2006d) V
,C20H23NO3,,
,[71626-11-4],,
,tralkoxydim,4.1 ×104,HSDB (2015) V
,C20H27NO3,,
,[87820-88-0],,
,neotame,4.3 103×,HSDB (2015) Q 38
,C20H30N2O5,,
,[165450-17-9],,
,colchicine,5.5 1011×,HSDB (2015) Q 38
,C22H25NO6,,
,[64-86-8],,
,tebufenozide,7.6 102×,HSDB (2015) V
,C22H28N2O2,,
,[112410-23-8],,
,methoxyfenozide,2.6 ×106,HSDB (2015) Q 38
,C22H28N2O3,,
,[161050-58-4],,
,propoxyphene,4.3×103,HSDB (2015) Q 38
,C22H29NO2,,
,[469-62-5],,
,(Z)-13-docosenamide,3.5,HSDB (2015) Q 216
,C22H43NO,,
,(erucamide),,
,[112-84-5],,
,butroxydim,1.7 104×,MacBean (2012a) ?
,C24H33NO4,,
,[138164-12-2],,
,"2,2-bis[4-(4-",2.0×108,"Zhang et al. (2010) Q 107, 108"
,aminophenoxy)phenyl]propane,,
,C 27 H 26 N 2 O2,2.8 ×108,"Zhang et al. (2010) Q 107, 109"
,[13080-86-9],1.0×108,"Zhang et al. (2010) Q 107, 110"
,,3.1×1010,"Zhang et al. (2010) Q 107, 111"
,"1,4-bis[(4-methylphenyl)amino]-9,10-",6.6 ×1010,HSDB (2015) Q 38
,anthracenedione,,
,C28H22N2O2,,
,(D&C Green No. 6),,
,[128-80-3],,
,mifepristone,2.0×10−1,HSDB (2015) Q 38
,C29H35NO2,,
,[84371-65-3],,
,2’-anilino-6’-[ethyl(3-,8.4×10,"Zhang et al. (2010) Q 107, 108"
,methylbutyl)amino]-3’-,,
,"methylspiro[isobenzofuran-1(3H),9’-",,
,[9H]xanthene]-3-one,,
,C 34 H34N2O3,2.0×108,"Zhang et al. (2010) Q 107, 109"
,[70516-41-5],3.5 ×108,"Zhang et al. (2010) Q 107, 110"
,,8.0×108,"Zhang et al. (2010) Q 107, 111"
,glutamic acid,9.9 1010×,Saxena and Hildemann (1996) E 158
,C5H9NO4,,
,[617-65-2],,
,asparagine,9.9×1010,Saxena and Hildemann (1996) E 158
,C4H8N2O3,,
,[70-47-3],,
,serine,3.9×1010,Saxena and Hildemann (1996) E 158
,C3H7NO3,,
,[302-84-1],,
,glutamine,3.3×1010,HSDB (2015) Q 182
,C5H10N2O3,9.9×1010,Saxena and Hildemann (1996) E 158
,[56-85-9],,
,glycine,1.2 1011×,16000 Brimblecombe et al. (1992) V
,C 2 H 5 NO2,8.9 ×105,Saxena and Hildemann (1996) E 158
,[56-40-6],,
,arginine,9.9 1014×,Saxena and Hildemann (1996) E 158
,C6H14N4O2,,
,[74-79-3],,
,alanine,3.5×1010,16000 Brimblecombe et al. (1992) V
,C3H7NO2,5.9 ×105,Saxena and Hildemann (1996) E 158
,[302-72-7],,
,leucine,2.0×105,Saxena and Hildemann (1996) E 158
,C6H13NO2,,
,[328-39-2],,
,Heterocyc,les with ox,"ygen and nitrogen (C, H, O, N)"
,cyanuric acid,1.1 109×,HSDB (2015) Q 38
,C3H3N3O3,1.1×109,"Zhang et al. (2010) Q 107, 108"
,[108-80-5],3.4 ×105,"Zhang et al. (2010) Q 107, 109"
,,4.2 1010×,"Zhang et al. (2010) Q 107, 110"
,,4.0 ×107,"Zhang et al. (2010) Q 107, 111"
,isoxazole,2.4 10−1×,Hilal et al. (2008) Q
,C3H3NO,,
,[288-14-2],,
,glycidamide,7.7 ×104,HSDB (2015) Q 38
,C3H5NO2,,
,[5694-00-8],,
,cyclonite,4.9×10,HSDB (2015) V
,C3H6N6O6,,
,[121-82-4],,
,5-methyl-3-(2H)-isoxazolone,5.0×103,Hilal et al. (2008) Q
,C4H5NO2,,
,(hymexazol),,
,[10004-44-1],,
,allantoin,2.9 1012×,HSDB (2015) Q 38
,C4H6N4O3,,
,[97-59-6],,
,2-pyrrolidinone,9.3×103,HSDB (2015) V
,C4H7NO,,
,[616-45-5],,
,4-nitrosomorpholine,3.9×102,Mirvish et al. (1976) M 19
,C4H8N2O2,9.0×102,Hilal et al. (2008) Q
,[59-89-2],,
,N-nitrosopyrrolidine,1.5 102×,8500 Klein (1982) M
,C4H8N2O,1.9×102,Mirvish et al. (1976) M 19
,[930-55-2],3.4 101×,Hilal et al. (2008) Q
,cyclotetramethylenetetranitramine,1.1×104,HSDB (2015) Q 38
,C4H8N8O8,,
,[2691-41-0],,
,1-oxa-4-azacyclohexane,8.2,HSDB (2015) V
,C4H9NO,7.3 ×101,8400 Cabani et al. (1975a) T
,(morpholine),1.6×102,Hilal et al. (2008) Q
,[110-91-8],1.0 ×101,Nirmalakhandan et al. (1997) Q
,1-aziridineethanol,1.3×104,HSDB (2015) Q 38
,C4H9NO,,
,[1072-52-2],,
,2-ethyl-3-methoxypyrazine,6.7 10−1×,Buttery et al. (1971) M
,C4N2H3(C2H5)OCH3,2.5×101,Hilal et al. (2008) Q
,[25680-58-4],,
,2-isobutyl-3-methoxypyrazine,1.7×10−1,Karl et al. (2003) M
,C4N2H3(C4H9)OCH3,2.0×10−1,Buttery et al. (1971) M
,[24683-00-9],,
,1-nitrosopiperidine,1.1×101,Mirvish et al. (1976) M 19
,C5H10N2O,2.9×101,Hilal et al. (2008) Q
,[100-75-4],,
,butyl carbamate,1.1 102×,HSDB (2015) Q 38
,C5H11NO2,,
,[592-35-8],,
,4-methyl-1-oxa-4-azacyclohexane,1.8×10,8300 Cabani et al. (1975a) T
,C5H11NO,5.7,Hilal et al. (2008) Q
,(N-methylmorpholine; 4-,1.7 101×,Nirmalakhandan et al. (1997) Q
,methylmorpholine),,
,[109-02-4],,
,allopurinol,4.9 108×,HSDB (2015) Q 38
,C5H4N4O,,
,[315-30-0],,
,4-methoxypyridine,,7100 Arnett and Chawla (1979) ? 222
,C5H4NOCH3,,
,[620-08-6],,
,N-methyl-2-pyrrolidone,2.1×103,9100 Bernauer and Dohnal (2009) M
,C5H9NO,3.1×103,Kim et al. (2000) M
,[872-50-4],,
,"5,5-dimethyl-2,4-imidazolidinedione",3.5×103,HSDB (2015) Q 38
,C5H8N2O2,3.6×103,"Zhang et al. (2010) Q 107, 108"
,[77-71-4],1.6×105,"Zhang et al. (2010) Q 107, 109"
,,5.1 106×,"Zhang et al. (2010) Q 107, 110"
,,1.6 ×105,"Zhang et al. (2010) Q 107, 111"
,2-azacycloheptanone,1.8 ×105,HSDB (2015) V
,C6H11NO,2.0×103,Hwang et al. (1992) V
,(caprolactam),,
,[105-60-2],,
,N-acetylpyrrolidine,6.2×103,Gibbs et al. (1991) M
,C6H11NO,,
,[4030-18-6],,
,glucosamine,1.3 ×1010,HSDB (2015) Q 38
,C6H13NO5,,
,[3416-24-8],,
,N-ethylmorpholine,4.0×102,HSDB (2015) Q 38
,C6H13NO,,
,[100-74-3],,
,3-formylpyridine,6.5×101,Abraham et al. (1994a) R
,C6H5NO,1.0×102,Hilal et al. (2008) Q
,[500-22-1],3.8 ×101,Nirmalakhandan et al. (1997) Q
,4-formylpyridine,5.6 ×101,Abraham et al. (1994a) R
,C6H5NO,1.0×102,Hilal et al. (2008) Q
,[872-85-5],3.8×101,Nirmalakhandan et al. (1997) Q
,niacinamide,3.4 106×,HSDB (2015) Q 38
,C6H6N2O,,
,[98-92-0],,
,metronidazole,5.8×105,HSDB (2015) Q 38
,C6H9N3O3,,
,[443-48-1],,
,glydant,1.4 106×,HSDB (2015) Q 38
,C7H12N2O4,,
,"(1,3-dimethylol-5,5-",,
,dimethylhydantoin),,
,[6440-58-0],,
,3-quinuclidinol,1.2 104×,HSDB (2015) Q 38
,C7H13NO,,
,[1619-34-7],,
,dinotefuran,1.5×108,HSDB (2015) V
,C7H14N4O3,,
,[165252-70-0],,
,"1,2,3-benzotriazin-4(1H)-one",3.1×104,HSDB (2015) Q 38
,C7H5N3O,,
,[90-16-4],,
,4-acetylpyridine,1.6 102×,Abraham et al. (1994a) R
,C7H7NO,1.9×102,Hilal et al. (2008) Q
,[1122-54-9],2.7 ×101,Nirmalakhandan et al. (1997) Q
,3-acetylpyridine,4.6×102,Abraham et al. (1994a) R
,C7H7NO,1.9×102,Hilal et al. (2008) Q
,[350-03-8],2.7×101,Nirmalakhandan et al. (1997) Q
,theophylline,5.5 ×108,HSDB (2015) Q 38
,C7H8N4O2,,
,[58-55-9],,
,theobromine,6.2×105,HSDB (2015) Q 38
,C7H8N4O2,,
,[83-67-0],,
,2-pyridineethanol,6.6 ×104,HSDB (2015) Q 38
,C7H9NO,,
,[103-74-2],,
,caffeine,9.0 105×,HSDB (2015) V
,C8H10N4O2,,
,[58-08-2],,
,acyclovir,3.1×1016,HSDB (2015) Q 38
,C8H11N5O3,,
,[59277-89-3],,
,2-methoxy-3-(1-methylethyl)-pyrazine,1.5×101,Hilal et al. (2008) Q
,C8H12N2O,,
,[25773-40-4],,
,simeton,1.5×104,Hilal et al. (2008) Q
,C8H15N5O,2.5×104,Abraham et al. (2007) Q
,[673-04-1],,
,N-isobutylmorpholine,,8100 Kühne et al. (2005) Q
,C8H17NO,,6000 Kühne et al. (2005) ?
,[10315-98-7],,
,phthalimide,9.9 ×102,HSDB (2015) Q 38
,C8H5NO2,,
,[85-41-6],,
,furazolidone,3.0×105,HSDB (2015) Q 38
,C8H7N3O5,,
,[67-45-8],,
,"1,2,3,6-tetrahydrophthalimide",3.3 ×102,HSDB (2015) Q 38
,C8H9NO2,,
,[85-40-5],,
,N-nitrosonornicotine,5.8 104×,HSDB (2015) Q 182
,C9H11N3O,,
,[16543-55-8],,
,"9-[(1,3-dihydroxy-2-",6.6×1017,HSDB (2015) Q 38
,propoxy)methyl]guanine,,
,C9H13N5O4,,
,(ganciclovir),,
,[82410-32-0],,
,atraton,6.4 ×103,Hilal et al. (2008) Q
,C 9 H 17 N 5O,1.1 ×104,Abraham et al. (2007) Q
,[1610-17-9],2.2 103×,MacBean (2012a) ?
,"4-hydroxy-2,2,6,6-tetramethyl-1-",3.3×109,HSDB (2015) Q 38
,piperidinyloxy,,
,C9H18NO2,,
,[2226-96-2],,
,8-hydroxyquinoline,1.7 101×,HSDB (2015) V
,C9H7NO,,
,[148-24-3],,
,carbendazim,4.7 ×105,HSDB (2015) V
,C9H9N3O2,6.5×105,Mackay et al. (2006d) V
,[10605-21-7],,
,metamitron,2.2 106×,Delgado and Alderete (2003) C
,C10H10N4O,2.8×107,Delgado and Alderete (2003) Q
,[41394-05-2],1.6 107×,Delgado and Alderete (2003) Q
,pymetrozin,3.3 ×105,HSDB (2015) V
,C10H11N5O,,
,[123312-89-0],,
,3-oxo-N-phenylbutanamide,2.3×106,HSDB (2015) Q 38
,C10H11NO2,,
,(acetoacetanilide),,
,[102-01-2],,
,"2,3’-didehydro-3’-deoxythymidine",4.3×10,HSDB (2015) Q 38
,(stavudine),,
,C10H12N2O4,,
,(stavudine),,
,[3056-17-5],,
,cotinine,3.0 106×,HSDB (2015) Q 38
,C10H12N2O,,
,[486-56-6],,
,4-(N-nitroso-N-methylamino)-1-(3-,1.2 ×108,HSDB (2015) Q 38
,pyridyl)-1-butanone,,
,C10H13N3O2,,
,[64091-91-4],,
,9-(4-hydroxy-3-hydroxymethylbut-1-,1.0 1026×,HSDB (2015) Q 38
,yl)guanine,,
,C10H15N5O3,,
,(penciclovir),,
,[39809-25-1],,
,anatoxin A,1.5×103,HSDB (2015) Q 38
,C10H15NO,,
,[64285-06-9],,
,dimetilan,2.4×105,HSDB (2015) Q 38
,C10H16N4O3,,
,[644-64-4],,
,isolan,4.9 103×,HSDB (2015) Q 38
,C10H17N3O2,,
,[119-38-0],,
,amicarbazone,1.5×107,MacBean (2012b) X 137
,C10H19N5O2,,
,[129909-90-6],,
,prometone,1.1 104×,HSDB (2015) V
,C10H19N5O,1.1×104,Mackay et al. (2006d) V
,[1610-18-0],1.1×104,Suntio et al. (1988) V 9
,,2.7 103×,Hilal et al. (2008) Q
,,5.1 103×,Abraham et al. (2007) Q
,secbumeton,2.8 103×,Mackay et al. (2006d) V
,C 10 H 19 N 5O,2.9 ×103,Suntio et al. (1988) V 9
,[26259-45-0],5.0×103,Hilal et al. (2008) Q
,,7.2 103×,Abraham et al. (2007) Q
,,2.7 103×,MacBean (2012a) ?
,terbumeton,2.1 103×,Mackay et al. (2006d) V
,C10H19N5O,2.4×103,Hilal et al. (2008) Q
,[33693-04-8],1.6×103,Abraham et al. (2007) Q
,kinetin,8.2×10,HSDB (2015) Q 38
,C10H9N5O,,
,[525-79-1],,
,carbadox,2.2×1017,HSDB (2015) Q 38
,C11H10N4O4,,
,[6804-07-5],,
,bendiocarb,2.5 ×102,HSDB (2015) V
,C11H13NO4,2.7×102,Mackay et al. (2006d) V
,[22781-23-3],,
,"2,3,5-trimethylphenol, methylcarba-",4.5 101×,HSDB (2015) V
,mate,,
,C11H15NO2,,
,"(2,3,5-trimethacarb)",,
,[2655-15-4],,
,butalbital,1.6×107,HSDB (2015) Q 38
,C11H16N2O3,,
,[77-26-9],,
,dexrazoxane,4.7×1013,HSDB (2015) Q 38
,C11H16N4O4,,
,[24584-09-6],,
,pentobarbital,1.2×107,HSDB (2015) Q 38
,C11H18N2O3,,
,[76-74-4],,
,pirimor,1.2×104,HSDB (2015) V
,C11H18N4O2,3.1×103,Mackay et al. (2006d) V
,(pirimicarb),5.0×103,Siebers and Mattusch (1996) V 9
,[23103-98-2],5.9×103,Siebers et al. (1994) V
,,3.1 ×103,Suntio et al. (1988) V 9
,ethirimol,3.6×103,Mackay et al. (2006d) V
,C11H19N3O,,
,[23947-60-6],,
,fenfuram,2.5 104×,Mackay et al. (2006d) V
,C12H11NO2,,
,[24691-80-3],,
,phenobarbital,5.8×108,HSDB (2015) Q 38
,C12H12N2O3,,
,[50-06-6],,
,triaziquone,1.1×1010,HSDB (2015) Q 38
,C12H13N3O2,,
,[68-76-8],,
,triallyl cyanurate,2.3 101×,"Zhang et al. (2010) Q 107, 108"
,C12H15N3O3,1.8 ×103,"Zhang et al. (2010) Q 107, 109"
,[101-37-1],1.9 ×102,"Zhang et al. (2010) Q 107, 110"
,,4.1 ×104,"Zhang et al. (2010) Q 107, 111"
,entecavir,6.2 ×1015,HSDB (2015) Q 38
,C12H15N5O3,,
,[142217-69-4],,
,metaxalone,3.7×104,HSDB (2015) Q 38
,C12H15NO3,,
,[1665-48-1],,
,phendimetrazine,3.7×102,HSDB (2015) Q 38
,C12H17NO,,
,[634-03-7],,
,hexazinone,>9.9×101,Mabury and Crosby (1996) M
,C12H20N4O2,4.4×106,HSDB (2015) V
,[51235-04-2],,
,picaridin,3.3 ×105,HSDB (2015) Q 38
,C12H23NO3,,
,[119515-38-7],,
,pyrinuron,5.4 ×1010,HSDB (2015) Q 38
,C13H12N4O3,,
,(pyriminil),,
,[53558-25-1],,
,melatonin,3.8 ×108,HSDB (2015) Q 182
,C13H16N2O2,,
,[73-31-4],,
,"dibenz[b,f ]][1,4]oxazepine",2.4 10−3×,HSDB (2015) Q 38
,C13H9NO,,
,[257-07-8],,
,benomyl,5.2 ×105,Mackay et al. (2006d) V
,C14H18N4O3,,
,[17804-35-2],,
,trimethoprim,4.1 ×108,HSDB (2015) Q 38
,C14H18N4O3,,
,[738-70-5],,
,famciclovir,1.0×108,HSDB (2015) Q 38
,C14H19N5O4,,
,[104227-87-4],,
,furmecyclox,1.4×102,MacBean (2012a) ?
,C14H21NO3,,
,[60568-05-0],,
,oxcarbazepine,1.4 ×107,HSDB (2015) Q 38
,C15H12N2O2,,
,[28721-07-5],,
,phenytoin,9.7×105,HSDB (2015) Q 38
,C15H12N2O2,,
,[57-41-0],,
,carbamazepine,9.0×10,HSDB (2015) Q 38
,C15H12N2O,,
,[298-46-4],,
,propylthiouracil,9.0×103,HSDB (2015) Q 38
,C15H12N2O,,
,[51-52-5],,
,ancymidol,4.7×106,Hilal et al. (2008) Q
,C15H16N2O2,,
,[12771-68-5],,
,imazethapyr,9.9×1010,HSDB (2015) Q 38
,C15H19N3O3,,
,[81335-77-5],,
,imazamox,1.1×1013,HSDB (2015) Q 38
,C15H19N3O4,,
,[114311-32-9],,
,cycloheximide,2.8×109,HSDB (2015) Q 38
,C15H23NO4,,
,[66-81-9],,
,oxymatrine,9.9×1012,HSDB (2015) Q 38
,C15H24N2O2,,
,[16837-52-8],,
,mebendazole,1.8 ×1010,HSDB (2015) Q 38
,C16H13N3O3,,
,[31431-39-7],,
,fenpyroximate,7.6,MacBean (2012b) X 137
,C16H20N2O3,,
,[134098-61-6],,
,imazamethabenz-methyl,2.6 ×106,HSDB (2015) V
,C16H20N2O3,,
,[81405-85-8],,
,nifedipine,1.4 108×,HSDB (2015) Q 38
,C17H18N2O6,,
,[21829-25-4],,
,oxymorphone,2.4×1013,HSDB (2015) Q 38
,C17H19NO4,,
,[76-41-5],,
,desomorphine,2.4 ×106,HSDB (2015) Q 38
,C17H21NO2,,
,[427-00-9],,
,cocaine,2.3 ×105,HSDB (2015) V
,C17H21NO4,,
,[50-36-2],,
,"N-(2-ethylhexyl)-5-norbornene-2,3-",3.5×10,HSDB (2015) Q 38
,dicarboximide,,
,C17H25NO2,,
,[113-48-4],,
,quinophthalone,1.6 ×108,HSDB (2015) Q 38
,C18H11NO2,,
,[8003-22-3],,
,tetramethrin,5.8,HSDB (2015) V
,C19H25NO4,,
,[7696-12-0],,
,isoxaben,7.8×103,MacBean (2012b) X 137
,C19H25NO4,,
,[82558-50-7],,
,alfuzosin,1.0 1014×,HSDB (2015) Q 38
,C19H27N5O4,,
,[81403-80-7],,
,pyriproxyfen,1.6×104,HSDB (2015) Q 38
,C20H19NO3,,
,[95737-68-1],,
,papaverine,1.3×107,HSDB (2015) Q 38
,C20H21NO4,,
,[58-74-2],,
,fenazaquin,9.9 101×,HSDB (2015) V
,C20H22N2O,,
,[120928-09-8],,
,bitertanol,1.2 104×,Mackay et al. (2006d) V
,C20H23N3O2,,
,[55179-31-2],,
,bitertanol diastereoisomer a,3.1 ×106,Mackay et al. (2006d) V
,C20H23N3O2,,
,[70585-36-3],,
,bitertanol diastereoisomer b,1.5 106×,Mackay et al. (2006d) V
,C20H23N3O2,,
,[70585-38-5],,
,naltrexone,2.3 1013×,HSDB (2015) Q 38
,C20H23NO4,,
,[16590-41-3],,
,"D-lysergic acid N,N-diethylamide",6.6 1010×,HSDB (2015) Q 38
,C20H25N3O,,
,(LSD),,
,[50-37-3],,
,ibogaine,8.2×105,HSDB (2015) Q 38
,C20H26N2O,,
,[83-74-9],,
,fenpropimorph,6.2,Mackay et al. (2006d) V
,C20H33NO,,
,[67564-91-4],,
,strychnine,1.6 ×108,HSDB (2015) Q 38
,C21H22N2O2,,
,[57-24-9],,
,nalmefene,5.5 1010×,HSDB (2015) Q 38
,C21H25NO3,,
,[55096-26-9],,
,benztropine,4.5×103,HSDB (2015) Q 38
,C21H25NO,,
,[86-13-5],,
,stanozolol,9.0 102×,HSDB (2015) Q 38
,C21H32N2O,,
,[10418-03-8],,
,azoxystrobin,1.4 108×,HSDB (2015) V
,C22H17N3O5,,
,[131860-33-8],,
,famoxadone,2.1×102,HSDB (2015) V
,C22H18N2O4,,
,[131807-57-3],,
,tadalafil,2.0 1012×,HSDB (2015) Q 38
,C22H19N3O4,,
,[171596-29-5],,
,bisacodyl,1.4×106,HSDB (2015) Q 38
,C22H19NO4,,
,[603-50-9],,
,fentanyl,1.1 106×,HSDB (2015) Q 38
,C22H28N2O,,
,[437-38-7],,
,4-(triphenylmethyl)morpholine,7.6 104×,HSDB (2015) Q 38
,C23H23NO,3.2,MacBean (2012a) ?
,(trifenmorph),,
,[1420-06-0],,
,brucine,4.7 1010×,HSDB (2015) Q 38
,C23H26N2O4,,
,[357-57-3],,
,mycophenolate mofetil,1.8×109,HSDB (2015) Q 38
,C23H31NO7,,
,[128794-94-5],,
,pinoxaden,1.1×106,HSDB (2015) V
,C23H32N2O4,,
,[243973-20-8],,
,valsartan,3.2×10,HSDB (2015) Q 38
,C24H29N5O3,,
,[137862-53-4],,
,donepezil,8.2×106,HSDB (2015) Q 38
,C24H29NO3,,
,[120014-06-4],,
,2-[4-[4-(2-,7.5×108,"Zhang et al. (2010) Q 107, 108"
,benzoxazolyl)styryl]phenyl]-5-,,
,methylbenzoxazole,,
,C29H20N2O2,6.2×106,"Zhang et al. (2010) Q 107, 109"
,[5242-49-9],1.2 ×105,"Zhang et al. (2010) Q 107, 110"
,,9.5×107,"Zhang et al. (2010) Q 107, 111"
,"2-(2H-benzotriazol-2-yl)-4,6-bis(1-",7.2 ×109,"Zhang et al. (2010) Q 107, 108"
,methyl-1-phenylethyl)phenol,,
,C30H29N3O,5.8×105,"Zhang et al. (2010) Q 107, 109"
,[70321-86-7],1.4 107×,"Zhang et al. (2010) Q 107, 110"
,,8.8 ×106,"Zhang et al. (2010) Q 107, 111"
,norbormide,3.7 1017×,HSDB (2015) Q 38
,C33H25N3O3,,
,[991-42-4],,
,reserpine,1.8 1017×,HSDB (2015) Q 38
,C33H40N2O9,,
,[50-55-5],,
,telaprevir,1.3 1025×,HSDB (2015) Q 38
,C36H53N7O6,,
,[402957-28-2],,
,lopinavir,2.3 1022×,HSDB (2015) Q 38
,C37H48N4O5,,
,[192725-17-0],,
,atazanavir,2.7×1026,HSDB (2015) Q 38
,C38H52N6O7,,
,[198904-31-3],,
,tylosin,1.7 ×1032,HSDB (2015) Q 38
,C46H77NO17,,
,[1401-69-0],,
,nystatin,4.9×104,HSDB (2015) Q 38
,C47H75NO17,,
,[1400-61-9],,
,"1,3,5-tris(3,5-di-tert-butyl-4-",6.1 1020×,"Zhang et al. (2010) Q 107, 108"
,"hydroxybenzyl)-1,3,5-triazinane-",,
,"2,4,6-trione",,
,C48H69N3O6,1.3×1012,"Zhang et al. (2010) Q 107, 109"
,[27676-62-6],3.4×1010,"Zhang et al. (2010) Q 107, 110"
,,8.2 1014×,"Zhang et al. (2010) Q 107, 111"
,,Nitr,ates (RONO2)
,urea nitrate,5.8 1011×,HSDB (2015) Q 38
,CH5N3O4,,
,[124-47-0],,
,methyl nitrate,2.0 ×10−2,4700 Sander et al. (2011) L
,CH3ONO2,2.0×10−2,4700 Sander et al. (2006) L
,[598-58-3],2.0 ×10−2,4700 Kames and Schurath (1992) M
,,2.6 10−2×,Schwartz (1986) C 31
,,6.2 10−2×,Hilal et al. (2008) Q
,,,4900 Kühne et al. (2005) Q
,,,4800 Kühne et al. (2005) ?
,ethyl nitrate,1.6 10−2×,5400 Sander et al. (2011) L
,C2H5ONO2,1.6×10−2,5400 Sander et al. (2006) L
,[625-58-1],1.6 10−2×,5400 Kames and Schurath (1992) M
,,3.3×10−2,HSDB (2015) Q 38
,,3.9×10−2,Hilal et al. (2008) Q
,1-propyl nitrate,1.1×10−2,5500 Sander et al. (2011) L
,C3H7ONO2,1.1×10−2,5500 Sander et al. (2006) L
,[627-13-4],9.0 10−3×,5600 Staudinger and Roberts (2001) L
,,7.4×10−3,4600 Hauff et al. (1998) M
,,1.1 10−2×,5500 Kames and Schurath (1992) M
,,1.1 −2×10,Hauff et al. (1998) V
,,2.5×10−2,Hilal et al. (2008) Q
,,,5600 Kühne et al. (2005) Q
,,,4600 Kühne et al. (2005) ?
,2-propyl nitrate,7.8×10−3,5400 Sander et al. (2011) L
,C 3 H7ONO2,7.8×10−3,5400 Sander et al. (2006) L
,(isopropyl nitrate),6.6×10−3,5400 Staudinger and Roberts (2001) L
,[1712-64-7],5.5 10−3×,4300 Hauff et al. (1998) M
,,7.8 10−3×,5400 Kames and Schurath (1992) M
,,8.1 10−3×,Hauff et al. (1998) V
,,1.7 ×10−2,Hilal et al. (2008) Q
,,,4600 Kühne et al. (2005) Q
,,,4300 Kühne et al. (2005) ?
,1-butyl nitrate,1.0 ×10−2,5800 Sander et al. (2011) L
,C4H9ONO2,1.0×10−2,5800 Sander et al. (2006) L
,[928-45-0],8.8 10−3×,6000 Staudinger and Roberts (2001) L
,,6.3 10−3×,5200 Hauff et al. (1998) M
,,1.0×10−2,5800 Kames and Schurath (1992) M
,,1.0 10−2×,6000 Luke et al. (1989) M
,,8.5 ×10−3,Hauff et al. (1998) V
,,1.7×10−2,Hilal et al. (2008) Q
,,,5900 Kühne et al. (2005) Q
,,,5800 Kühne et al. (2005) ?
,2-butyl nitrate,6.4×10,5400 Sander et al. (2011) L
,C4H9ONO2,6.4×10−3,5400 Sander et al. (2006) L
,[924-52-7],6.4 ×10−3,6100 Staudinger and Roberts (2001) L
,,4.4×10−3,Hauff et al. (1998) M
,,6.4×10−3,5400 Kames and Schurath (1992) M
,,6.3 10−3×,5600 Luke et al. (1989) M
,,6.4 10−3×,Hauff et al. (1998) V
,,,4900 Kühne et al. (2005) Q
,,,5400 Kühne et al. (2005) ?
,2-methyl-1-nitropropane,7.0 10−3×,5200 Kames and Schurath (1992) M
