CID,Melting Point,InChIKey
15435,76.0,YUTFQTAITWWGFH-UHFFFAOYSA-N
7954,154.0,MGNCLNQXLYJVJD-UHFFFAOYSA-N
66737,14.5,JIKUXBYRTXDNIY-UHFFFAOYSA-N
439263,-22.0,NOOLISFMXDJSKH-UTLUCORTSA-N
19518,168.0,VWTINHYPRWEBQY-UHFFFAOYSA-N
8103,-44.6,ZSIAUFGUXNUGDI-UHFFFAOYSA-N
16666,39.0,NOOLISFMXDJSKH-KXUCPTDWSA-N
15413,-108.6,BZLVMXJERCGZMT-UHFFFAOYSA-N
7656,-26.0,BWLUMTFWVZZZND-UHFFFAOYSA-N
8554,5.5,NIQCNGHVCWTJSM-UHFFFAOYSA-N
61198,-11.3,LYAGTVMJGHTIDH-UHFFFAOYSA-N
62433,-78.8,FGPPDYNPZTUNIU-UHFFFAOYSA-N
12736,128.0,TVIDDXQYHWJXFK-UHFFFAOYSA-N
3893,43.2,POULHZVOKOAJMA-UHFFFAOYSA-N
3961,184.0,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
6616,51.6,CRPUJAZIXJMDBK-UHFFFAOYSA-N
8050,-18.0,YRHYCMZPEVDGFQ-UHFFFAOYSA-N
3117,71.5,AUZONCFQVSMFAP-UHFFFAOYSA-N
61221,105.0,JGFBRKRYDCGYKD-UHFFFAOYSA-N
7455,33.2,QSSJZLPUHJDYKF-UHFFFAOYSA-N
7243,102.5,GEYOCULIXLDCMW-UHFFFAOYSA-N
5143,224.0,CVHZOJJKTDOEJC-UHFFFAOYSA-N
67717,72.5,NRKYWOKHZRQRJR-UHFFFAOYSA-N
8174,6.9,MWKFXSUHUHTGQN-UHFFFAOYSA-N
13097,156.5,FIQMHBFVRAXMOP-UHFFFAOYSA-N
14311,-19.4,YFNONBGXNFCTMM-UHFFFAOYSA-N
8437,33.5,NXQMCAOPTPLPRL-UHFFFAOYSA-N
13,17.0,PBKONEOXTCPAFI-UHFFFAOYSA-N
8254,-141.5,LCGLNKUTAGEVQW-UHFFFAOYSA-N
735755,127.0,YTFVRYKNXDADBI-SNAWJCMRSA-N
8056,-16.5,ULTHEAFYOOPTTB-UHFFFAOYSA-N
8404,-35.7,CXWXQJXEFPUFDZ-UHFFFAOYSA-N
7784,-32.4,XTJFFFGAUHQWII-UHFFFAOYSA-N
6937,46.5,XOUQAVYLRNOXDO-UHFFFAOYSA-N
6051,127.0,QPQKUYVSJWQSDY-UHFFFAOYSA-N
17004,51.5,IKEHOXWJQXIQAG-UHFFFAOYSA-N
7555,27.0,BJELTSYBAHKXRW-UHFFFAOYSA-N
7991,-34.0,NQPDZGIKBAWPEJ-UHFFFAOYSA-N
7394,-33.0,QULYNCCPRWKEMF-UHFFFAOYSA-N
7112,283.0,VCCBEIPGXKNHFW-UHFFFAOYSA-N
7311,56.5,ICKWICRCANNIBI-UHFFFAOYSA-N
281,-205.02,UGFAIRIUMAVXCW-UHFFFAOYSA-N
61143,-73.5,CRNIHJHMEQZAAS-UHFFFAOYSA-N
21984,128.0,FDWRKVKXYZRYOD-UHFFFAOYSA-N
11966,8.0,GJBRNHKUVLOCEB-UHFFFAOYSA-N
6368,-117.0,NPNPZTNLOVBDOC-UHFFFAOYSA-N
6548,31.5,DLHQZZUEERVIGQ-UHFFFAOYSA-N
6384,-172.0,RJCQBQGAPKAMLL-UHFFFAOYSA-N
12116,134.0,HTMQZWFSTJVJEQ-UHFFFAOYSA-N
6547,101.5,OZAIFHULBGXAKX-UHFFFAOYSA-N
11987,24.0,BSQLQMLFTHJVKS-UHFFFAOYSA-N
6866,93.0,HXEWMTXDBOQQKO-UHFFFAOYSA-N
8481,149.0,GRDXCFKBQWDAJH-UHFFFAOYSA-N
8441,141.0,WOZVHXUHUFLZGK-UHFFFAOYSA-N
7347,109.5,REQPQFUJGGOFQL-UHFFFAOYSA-N
8030,-39.4,YTPLMLYBLZKORZ-UHFFFAOYSA-N
6623,153.0,IISBACLAFKSPIT-UHFFFAOYSA-N
6407,-57.5,HFFLGKNGCAIQMO-UHFFFAOYSA-N
31260,-117.2,PHTQWCKDNZKARW-UHFFFAOYSA-N
7222,2.0,IOJUPLGTWVMSFF-UHFFFAOYSA-N
8497,141.0,AFPHTEQTJZKQAQ-UHFFFAOYSA-N
8400,137.0,ISAOCJYIOMOJEB-UHFFFAOYSA-N
957,-15.5,KBPLFHHGFOOTCA-UHFFFAOYSA-N
31405,39.0,DKCPKDPYUFEZCP-UHFFFAOYSA-N
7635,-80.0,WOYWLLHHWAMFCB-UHFFFAOYSA-N
11918,-17.9,BSZXAFXFTLXUFV-UHFFFAOYSA-N
5273469,39.0,NGHOLYJTSCBCGC-VAWYXSNFSA-N
61585,78.5,IKTHMQYJOWTSJO-UHFFFAOYSA-N
15020,204.0,UXYRZJKIQKRJCF-TZPFWLJSSA-N
8455,25.0,WMVJWKURWRGJCI-UHFFFAOYSA-N
13690,151.5,JHWNWJKBPDFINM-UHFFFAOYSA-N
637520,36.0,CCRCUPLGCSFEDV-BQYQJAHWSA-N
637776,18.0,NNWHUJCUHAELCL-SNAWJCMRSA-N
13224,73.8,NBYLBWHHTUWMER-UHFFFAOYSA-N
12529,-73.5,DIQMPQMYFZXDAX-UHFFFAOYSA-N
15088,67.5,VNGOYPQMJFJDLV-UHFFFAOYSA-N
7501,-31.0,PPBRXRYQALVLMV-UHFFFAOYSA-N
16990,90.5,FATBKZJZAHWCSL-UHFFFAOYSA-N
8175,-5.0,KSMVZQYAVGTKIV-UHFFFAOYSA-N
8467,77.5,CBOQJANXLMLOSS-UHFFFAOYSA-N
17355,-13.0,AKGGYBADQZYZPD-UHFFFAOYSA-N
5754,218.5,JYGXADMDTFJGBT-VWUMJDOOSA-N
7391,66.0,CCOQPGVQAWPUPE-UHFFFAOYSA-N
10899,-122.8,SNMVRZFUUCLYTO-UHFFFAOYSA-N
