Species,InChIKey,Hcp
"2,4-dimethylhexane",HDGQICNBXPAKLR-UHFFFAOYSA-N,1.9e-06
"2,5-dimethylhexane",UWNADWZGEHDQAB-UHFFFAOYSA-N,2.7e-06
"3,3-dimethylhexane",KUMXLFIBWFCMOJ-UHFFFAOYSA-N,2.9e-06
"3,4-dimethylhexane",RNTWWGNZUXGTAX-UHFFFAOYSA-N,3.8e-06
3-ethylhexane,SFRKSDZMZHIISH-UHFFFAOYSA-N,3.7e-06
"2,2,3-trimethylpentane",XTDQDBVBDLYELW-UHFFFAOYSA-N,2.7e-06
"2,2,4-trimethylpentane",NHTMVDHEPJAVLT-UHFFFAOYSA-N,3e-06
"2,3,3-trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,3.6e-06
"2,3,4-trimethylpentane",RLPGDEORIPLBNF-UHFFFAOYSA-N,5.3e-06
3-ethyl-2-methylpentane,DUPUVYJQZSLSJB-UHFFFAOYSA-N,3.6e-06
3-ethyl-3-methylpentane,GIEZWIDCIFCQPS-UHFFFAOYSA-N,4.5e-06
"2,2,3,3-tetramethylbutane",OMMLUKLXGSRPHK-UHFFFAOYSA-N,3.4e-06
nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,2e-06
2-methyloctane,ZUBZATZOEPUUQF-UHFFFAOYSA-N,1.9e-06
3-methyloctane,SEEOMASXHIJCDV-UHFFFAOYSA-N,2.4e-06
4-methyloctane,DOGIHOCMZJUJNR-UHFFFAOYSA-N,1e-06
"2,3-dimethylheptane",WBRFDUJXCLCKPX-UHFFFAOYSA-N,2.4e-06
"2,2-dimethylheptane",PSABUFWDVWCFDP-UHFFFAOYSA-N,1.4e-06
"2,4-dimethylheptane",AUKVIBNBLXQNIZ-UHFFFAOYSA-N,1.4e-06
"2,5-dimethylheptane",HQZHQNKZOYIKQC-UHFFFAOYSA-N,1.5e-06
"2,6-dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,1.2e-06
"3,3-dimethylheptane",BVAKDOXCVSMKHE-UHFFFAOYSA-N,2.3e-06
"3,4-dimethylheptane",MAKRYGRRIKSDES-UHFFFAOYSA-N,2.6e-06
"3,5-dimethylheptane",DZJTZGHZAWTWGA-UHFFFAOYSA-N,1.5e-06
"4,4-dimethylheptane",WSOKFYJGNBQDPW-UHFFFAOYSA-N,2.1e-06
3-ethylheptane,PSVQKOKKLWHNRP-UHFFFAOYSA-N,2.6e-06
4-ethylheptane,XMROPFQWHHUFFS-UHFFFAOYSA-N,2.5e-06
"2,2,3-trimethylhexane",CBVFSZDQEHBJEQ-UHFFFAOYSA-N,1.9e-06
"2,2,4-trimethylhexane",AFTPEBDOGXRMNQ-UHFFFAOYSA-N,1.1e-06
"2,2,5-trimethylhexane",HHOSMYBYIHNXNO-UHFFFAOYSA-N,2.9e-06
"2,3,3-trimethylhexane",DJYSEQMMCZAKGT-UHFFFAOYSA-N,2.4e-06
"2,3,4-trimethylhexane",RUTNOQHQISEBGT-UHFFFAOYSA-N,2.6e-06
"2,3,5-trimethylhexane",ODGLTLJZCVNPBU-UHFFFAOYSA-N,1.4e-06
"2,4,4-trimethylhexane",SVEMKBCPZYWEPH-UHFFFAOYSA-N,1.4e-06
"3,3,4-trimethylhexane",ARWOOWBJJKVYOV-UHFFFAOYSA-N,2.9e-06
3-ethyl-2-methylhexane,MVLOWDRGPHBNNF-UHFFFAOYSA-N,2.3e-06
4-ethyl-2-methylhexane,KYCZJIBOPKRSOV-UHFFFAOYSA-N,1.5e-06
3-ethyl-3-methylhexane,CYWROHZCELEGSE-UHFFFAOYSA-N,3.2e-06
3-ethyl-4-methylhexane,OKCRKWVABWILDR-UHFFFAOYSA-N,3.1e-06
"2,2,3,3-tetramethylpentane",QUKOJKFJIHSBKV-UHFFFAOYSA-N,3.6e-06
"2,2,3,4-tetramethylpentane",VZFMYOCAEQDWDY-UHFFFAOYSA-N,1.9e-06
"2,2,4,4-tetramethylpentane",GUMULFRCHLJNDY-UHFFFAOYSA-N,9e-07
"2,3,3,4-tetramethylpentane",JLCYYQOQSAMWTA-UHFFFAOYSA-N,2.7e-06
"3-ethyl-2,2-dimethylpentane",CLZCPQKGOAXOJT-UHFFFAOYSA-N,1.9e-06
"3-ethyl-2,3-dimethylpentane",MMASVVOQIKCFJZ-UHFFFAOYSA-N,3.5e-06
"3-ethyl-2,4-dimethylpentane",VLHAGZNBWKUMRW-UHFFFAOYSA-N,1.9e-06
"3,3-diethylpentane",BGXXXYLRPIRDHJ-UHFFFAOYSA-N,4.1e-06
decane,DIOQZVSQGTUSAI-UHFFFAOYSA-N,1.4e-06
2-methylnonane,SGVYKUFIHHTIFL-UHFFFAOYSA-N,1.5e-06
3-methylnonane,PLZDDPSCZHRBOY-UHFFFAOYSA-N,1.7e-06
4-methylnonane,IALRSQMWHFKJJA-UHFFFAOYSA-N,1.6e-06
5-methylnonane,TYSIILFJZXHVPU-UHFFFAOYSA-N,1.7e-06
"2,2-dimethyloctane",GPBUTTSWJNPYJL-UHFFFAOYSA-N,1.3e-06
"2,3-dimethyloctane",YPMNDMUOGQJCLW-UHFFFAOYSA-N,1.7e-06
"2,4-dimethyloctane",IXAVTTRPEXFVSX-UHFFFAOYSA-N,1.2e-06
"2,5-dimethyloctane",HOAAQUNESXYFDT-UHFFFAOYSA-N,1.3e-06
"2,6-dimethyloctane",ZALHPSXXQIPKTQ-UHFFFAOYSA-N,1.2e-06
"2,7-dimethyloctane",KEVMYFLMMDUPJE-UHFFFAOYSA-N,1e-06
"3,3-dimethyloctane",DBULLUBYDONGLT-UHFFFAOYSA-N,1.7e-06
"3,4-dimethyloctane",QQCWGAMGBCGAQJ-UHFFFAOYSA-N,2e-06
"3,5-dimethyloctane",VRHRGVJOUHJULC-UHFFFAOYSA-N,1.4e-06
"3,6-dimethyloctane",JEEQUUSFXYRPRK-UHFFFAOYSA-N,1.3e-06
"4,4-dimethyloctane",ZMEDGZAGMLTROM-UHFFFAOYSA-N,1.5e-06
"4,5-dimethyloctane",DOYJTLUPPPUSMD-UHFFFAOYSA-N,2.1e-06
