Species,InChIKey,Hcp
"2,3-dimethylhexane",JXPOLSKBTUYKJB-UHFFFAOYSA-N,3.4E-06
"2,4-dimethylhexane",HDGQICNBXPAKLR-UHFFFAOYSA-N,1.9E-06
"2,5-dimethylhexane",UWNADWZGEHDQAB-UHFFFAOYSA-N,2.7E-06
"3,3-dimethylhexane",KUMXLFIBWFCMOJ-UHFFFAOYSA-N,2.9E-06
"3,4-dimethylhexane",RNTWWGNZUXGTAX-UHFFFAOYSA-N,3.8E-06
3-ethylhexane,SFRKSDZMZHIISH-UHFFFAOYSA-N,3.7E-06
"2,2,3-trimethylpentane",XTDQDBVBDLYELW-UHFFFAOYSA-N,2.7E-06
"2,2,4-trimethylpentane",NHTMVDHEPJAVLT-UHFFFAOYSA-N,3.0E-06
"2,3,3-trimethylpentane",OKVWYBALHQFVFP-UHFFFAOYSA-N,3.6E-06
"2,3,4-trimethylpentane",RLPGDEORIPLBNF-UHFFFAOYSA-N,5.3E-06
3-ethyl-2-methylpentane,DUPUVYJQZSLSJB-UHFFFAOYSA-N,3.6E-06
3-ethyl-3-methylpentane,GIEZWIDCIFCQPS-UHFFFAOYSA-N,4.5E-06
"2,2,3,3-tetramethylbutane",OMMLUKLXGSRPHK-UHFFFAOYSA-N,3.4E-06
nonane,BKIMMITUMNQMOS-UHFFFAOYSA-N,2.0E-06
2-methyloctane,ZUBZATZOEPUUQF-UHFFFAOYSA-N,1.9E-06
3-methyloctane,SEEOMASXHIJCDV-UHFFFAOYSA-N,2.4E-06
4-methyloctane,DOGIHOCMZJUJNR-UHFFFAOYSA-N,1.0E-06
"2,3-dimethylheptane",WBRFDUJXCLCKPX-UHFFFAOYSA-N,2.4E-06
"2,2-dimethylheptane",PSABUFWDVWCFDP-UHFFFAOYSA-N,1.4E-06
"2,4-dimethylheptane",AUKVIBNBLXQNIZ-UHFFFAOYSA-N,1.4E-06
"2,5-dimethylheptane",HQZHQNKZOYIKQC-UHFFFAOYSA-N,1.5E-06
"2,6-dimethylheptane",KBPCCVWUMVGXGF-UHFFFAOYSA-N,1.2E-06
"3,3-dimethylheptane",BVAKDOXCVSMKHE-UHFFFAOYSA-N,2.3E-06
"3,4-dimethylheptane",MAKRYGRRIKSDES-UHFFFAOYSA-N,2.6E-06
"3,5-dimethylheptane",DZJTZGHZAWTWGA-UHFFFAOYSA-N,1.5E-06
"4,4-dimethylheptane",WSOKFYJGNBQDPW-UHFFFAOYSA-N,2.1E-06
3-ethylheptane,PSVQKOKKLWHNRP-UHFFFAOYSA-N,2.6E-06
4-ethylheptane,XMROPFQWHHUFFS-UHFFFAOYSA-N,2.5E-06
"2,2,3-trimethylhexane",CBVFSZDQEHBJEQ-UHFFFAOYSA-N,1.9E-06
"2,2,4-trimethylhexane",AFTPEBDOGXRMNQ-UHFFFAOYSA-N,1.1E-06
"2,2,5-trimethylhexane",HHOSMYBYIHNXNO-UHFFFAOYSA-N,2.9E-06
"2,3,3-trimethylhexane",DJYSEQMMCZAKGT-UHFFFAOYSA-N,2.4E-06
"2,3,4-trimethylhexane",RUTNOQHQISEBGT-UHFFFAOYSA-N,2.6E-06
"2,3,5-trimethylhexane",ODGLTLJZCVNPBU-UHFFFAOYSA-N,1.4E-06
