Species,InChIKey,Hcp
norbormide,DNTHHIVFNQZZRD-UHFFFAOYSA-N,3.7E+17
reserpine,QEVHRUUCFGRFIF-UHFFFAOYSA-N,1.8E+17
telaprevir,BBAWEDCPNXPBQM-GDEBMMAJSA-N,1.3E+25
lopinavir,KJHKTHWMRKYKJE-WRHCQWCJSA-N,2.3E+22
atazanavir,AXRYRYVKAWYZBR-GASGPIRDSA-N,2.7E+26
tylosin,WBPYTXDJUQJLPQ-SNQVITFCSA-N,1.7E+32
nystatin,VQOXZBDYSJBXMA-QFHUWGMOSA-N,4.9E+04
"1,3,5-tris(3,5-di-{\it tert}-butyl-4-hydroxybenzyl)-1,3,5-triazinane-2,4,6-trione",VNQNXQYZMPJLQX-UHFFFAOYSA-N,6.1E+20
urea nitrate,AYTGUZPQPXGYFS-UHFFFAOYSA-N,5.8E+11
methyl nitrate,LRMHVVPPGGOAJQ-UHFFFAOYSA-N,2.0E-02
ethyl nitrate,IDNUEBSJWINEMI-UHFFFAOYSA-N,1.6E-02
1-propyl nitrate,JNTOKFNBDFMTIV-UHFFFAOYSA-N,1.1E-02
2-propyl nitrate,GAPFWGOSHOCNBM-UHFFFAOYSA-N,7.8E-03
1-butyl nitrate,QQHZPQUHCAKSOL-UHFFFAOYSA-N,1.0E-02
2-butyl nitrate,DYONNFFVDNILGI-UHFFFAOYSA-N,6.4E-03
2-methyl-1-nitropropane,LNNXFUZKZLXPOF-UHFFFAOYSA-N,7.0E-03
1-pentyl nitrate,HSNWZBCBUUSSQD-UHFFFAOYSA-N,6.6E-03
2-pentyl nitrate,RWRBSYOTDDOXKC-UHFFFAOYSA-N,3.7E-03
3-pentyl nitrate,WQZKKVJFBZPJSU-UHFFFAOYSA-N,3.8E-03
3-methyl-1-butanol nitrate,NTHGIYFSMNNHSC-UHFFFAOYSA-N,5.0E-03
pentaerythritol tetranitrate,TZRXHJWUDPFEEY-UHFFFAOYSA-N,7.6E+03
1-hexyl nitrate,AGDYNDJUZRMYRG-UHFFFAOYSA-N,7.6E-03
2-nitrooxyethanol,HTKIMWYSDZQQBP-UHFFFAOYSA-N,3.9E+02
1-nitrooxy-2-propanol,OMDFJTSKBNDDRM-UHFFFAOYSA-N,6.6E+01
2-nitrooxy-1-propanol,HGCMMKIIGJXXMW-UHFFFAOYSA-N,7.2E+01
1-nitrooxy-2-butanol,KNUQGVIXAYDSOX-UHFFFAOYSA-N,8.9E+01
2-nitrooxy-1-butanol,YXMNEYKMHSBVTD-UHFFFAOYSA-N,8.8E+01
2-nitrooxy-3-butanol,CGFCSKMZZXPWEY-UHFFFAOYSA-N,1.0E+02
3-nitrooxy-1-butanol,inchikey,1.4E+02
4-nitrooxy-1-butanol,inchikey,2.9E+02
4-nitrooxy-2-butanol,inchikey,1.3E+02
4-nitrooxy-1-pentanol,inchikey,2.0E+02
5-nitrooxy-2-pentanol,inchikey,3.6E+02
1-nitrooxy-2-propanone,ISWXYJQANHQYSR-UHFFFAOYSA-N,1.0E+01
"1,2-ethanediol dinitrate",UQXKXGWGFRWILX-UHFFFAOYSA-N,6.3E+00
"1,2-propanediol dinitrate",PSXCGTLGGVDWFU-UHFFFAOYSA-N,1.7E+00
"1,3-propanediol dinitrate",KOSAMXZBGUIISK-UHFFFAOYSA-N,1.3E+00
"1,2,3-propanetriol trinitrate",SNIOPGDIGTZGOP-UHFFFAOYSA-N,2.3E+02
"1,2-butanediol dinitrate",CTISQZXTUUHJNC-UHFFFAOYSA-N,2.1E-01
"1,3-butanediol dinitrate",DGFBULNMARLFTH-UHFFFAOYSA-N,5.7E-01
"1,4-butanediol dinitrate",WSTUOPKRORLDCX-DTWKUNHWSA-N,1.6E+00
"2,3-butanediol dinitrate",RVDDYBGRQLZMSB-UHFFFAOYSA-N,1.2E-01
"1,2-pentanediol dinitrate",MZWHVGLDAWPHHW-UHFFFAOYSA-N,1.3E-01
"1,4-pentanediol dinitrate",IUTIKUKYGRINOD-UHFFFAOYSA-N,3.9E-01
"1,5-pentanediol dinitrate",MIYIEPHJPVBSEV-UHFFFAOYSA-N,1.2E+00
"(2R,4S)-2,4-pentanediol dinitrate",inchikey,2.2E-01
"(2R,4R)-2,4-pentanediol dinitrate",inchikey,1.4E-01
"1,2-hexanediol dinitrate",UJKJGCZXZPXTGS-UHFFFAOYSA-N,9.6E-02
"1,5-hexanediol dinitrate",PGDWEAOSOZNKFU-UHFFFAOYSA-N,2.7E-01
"1,6-hexanediol dinitrate",GCVAYIWGKFFWEU-UHFFFAOYSA-N,1.5E+00
"2,5-hexanediol dinitrate",ISSLCMSTXXUOEU-UHFFFAOYSA-N,3.1E-01
"(1R,2S)-1,2-cyclohexanediol dinitrate",inchikey,1.3E+00
"(1R,2R)-1,2-cyclohexanediol dinitrate",inchikey,5.2E-01
"(1R,3S)-1,3-cyclohexanediol dinitrate",inchikey,3.4E+00
"(1R,3R)-1,3-cyclohexanediol dinitrate",inchikey,6.8E-01
"1,7-heptanediol dinitrate",KIERETFMVSIXIJ-UHFFFAOYSA-N,1.1E+00
"(1R,2R)-1,2-cycloheptanediol dinitrate",inchikey,8.8E-01
"1,2-octanediol dinitrate",RLNKMZWMCSTIEM-UHFFFAOYSA-N,5.2E-02
"1,8-octanediol dinitrate",BVIHOKFRPSZJEI-UHFFFAOYSA-N,7.8E-01
"1,2-decanediol dinitrate",KKNGVXOJDIUADE-UHFFFAOYSA-N,2.0E-02
"1,10-decanediol dinitrate",RHUZOYMELURURD-UHFFFAOYSA-N,4.3E-01
diethylene glycol dinitrate,LYAGTVMJGHTIDH-UHFFFAOYSA-N,2.5E+01
peroxyacetyl nitrate,VGQXTTSVLMQFHM-UHFFFAOYSA-N,2.9E-02
peroxypropionyl nitrate,TXINBPKSWKFMNB-UHFFFAOYSA-N,2.9E-02
nitro butaneperoxoate,HZUMMZVMNQSPFF-UHFFFAOYSA-N,2.3E-02
peroxy-2-propenoyl nitrate,LLZWPQFQEBKRLX-UHFFFAOYSA-N,1.7E-02
peroxy-isobutyryl nitrate,BDNFHGUXBRZLRQ-UHFFFAOYSA-N,9.9E-03
isocyanic acid,OWIKHYCFFJSOEH-UHFFFAOYSA-N,2.1E-01
hydroxyacetonitrile,LTYRAPJYLUPLCI-UHFFFAOYSA-N,1.3E+00
2-hydroxypropanenitrile,WOFDVDFSGLBFAC-UHFFFAOYSA-N,1.0E+00
3-hydroxypropanenitrile,WSGYTJNNHPZFKR-UHFFFAOYSA-N,2.3E+04
"cyanoethanoic acid, ethyl ester",ZIUSEGSNTOUIPT-UHFFFAOYSA-N,3.4E+01
2-hydroxybenzoic acid nitrile,CHZCERSEMVWNHL-UHFFFAOYSA-N,2.8E+01
3-hydroxybenzoic acid nitrile,SGHBRHKBCLLVCI-UHFFFAOYSA-N,4.0E+04
4-hydroxybenzoic acid nitrile,CVNOWLNNPYYEOH-UHFFFAOYSA-N,1.4E+04
"1,1',1''-nitrilotris-2-propanol",SLINHMUFWFWBMU-UHFFFAOYSA-N,1.0E+06
cyometrinil,PYKLUAIDKVVEOS-JLHYYAGUSA-N,1.1E+04
fenpropathrin,XQUXKZZNEFRCAW-UHFFFAOYSA-N,5.5E-02
nitromethane,LYGJENNIWJXYER-UHFFFAOYSA-N,3.4E-01
nitromethane-13C,LYGJENNIWJXYER-OUBTZVSYSA-N,4.8E-01
nitroethane,MCSAJNNLRCFZED-UHFFFAOYSA-N,2.1E-01
1-nitropropane,JSZOAYXJRCEYSX-UHFFFAOYSA-N,1.3E-01
2-nitropropane,FGLBSLMDCBOPQK-UHFFFAOYSA-N,8.3E-02
1-nitrobutane,NALZTFARIYUCBY-UHFFFAOYSA-N,9.7E-02
{\it tert}-butylnitrite,IOGXOCVLYRDXLW-UHFFFAOYSA-N,7.9E-03
1-nitropentane,BVALZCVRLDMXOQ-UHFFFAOYSA-N,4.7E-02
tris(hydroxymethyl)ethane trinitrate,IPPYBNCEPZCLNI-UHFFFAOYSA-N,2.2E+03
1-nitrohexane,FEYJIFXFOHFGCC-UHFFFAOYSA-N,4.5E-02
nitrocyclohexane,NJNQUTDUIPVROZ-UHFFFAOYSA-N,2.4E-01
2-nitroethanol,KIPMDPDAFINLIV-UHFFFAOYSA-N,1.6E+02
1-nitro-2-propanol,PFNCKQIYLAVYJF-UHFFFAOYSA-N,7.9E+01
2-nitro-1-propanol,PCNWBUOSTLGPMI-UHFFFAOYSA-N,9.9E+01
1-nitro-2-butanol,FMEFHKJRIGHSLB-UHFFFAOYSA-N,7.3E+01
2-nitro-1-butanol,MHIHRIPETCJEMQ-UHFFFAOYSA-N,7.5E+01
3-nitro-2-butanol,OJVOGABFNZDOOZ-UHFFFAOYSA-N,5.7E+01
nitroguanidine,IDCPFAYURAQKDZ-UHFFFAOYSA-N,2.2E+10
tetranitromethane,NYTOUQBROMCLBJ-UHFFFAOYSA-N,4.1E-03
N-methyl-N'-nitro-N-nitrosoguanidine,VZUNGTLZRAYYDE-UHFFFAOYSA-N,8.2E+06
"2-(hydroxymethyl)-2-nitro-1,3-propanediol",OLQJQHSAWMFDJE-UHFFFAOYSA-N,2.1E+06
nitrobenzene,LQNUZADURLCDLV-UHFFFAOYSA-N,6.4E-01
nitrobenzene-d5,LQNUZADURLCDLV-RALIUCGRSA-N,8.5E-01
2-nitrotoluene,PLAZTCDQAHEYBI-UHFFFAOYSA-N,7.9E-01
3-nitrotoluene,QZYHIOPPLUPUJF-UHFFFAOYSA-N,1.1E+00
4-nitrotoluene,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,1.8E+00
"1,2-dinitrobenzene",IZUKQUVSCNEFMJ-UHFFFAOYSA-N,1.9E+02
"1,3-dinitrobenzene",WDCYWAQPCXBPJA-UHFFFAOYSA-N,2.0E+02
"1,4-dinitrobenzene",FYFDQJRXFWGIBS-UHFFFAOYSA-N,2.0E-01
"1,3,5-trinitrobenzene",UATJOMSPNYCXIX-UHFFFAOYSA-N,1.5E+03
2-nitrobenzenamine,DPJCXCZTLWNFOH-UHFFFAOYSA-N,1.7E+02
3-nitrobenzenamine,XJCVRTZCHMZPBD-UHFFFAOYSA-N,6.9E+02
4-nitrobenzenamine,TYMLOMAKGOJONV-UHFFFAOYSA-N,8.6E+03
"2,4-dinitrobenzenamine",LXQOQPGNCGEELI-UHFFFAOYSA-N,6.5E+04
"1-methyl-2,3-dinitrobenzene",DYSXLQBUUOPLBB-UHFFFAOYSA-N,1.1E+02
"1-methyl-2,4-dinitrobenzene",RMBFBMJGBANMMK-UHFFFAOYSA-N,1.8E+02
"2-methyl-1,4-dinitrobenzene",KZBOXYKTSUUBTO-UHFFFAOYSA-N,1.8E+01
"2-methyl-1,3-dinitrobenzene",XTRDKALNCIHHNI-UHFFFAOYSA-N,1.5E+01
"4-methyl-1,2-dinitrobenzene",INYDMNPNDHRJQJ-UHFFFAOYSA-N,1.1E+02
"1-methyl-2,4,6-trinitrobenzene",SPSSULHKWOKEEL-UHFFFAOYSA-N,4.7E+02
"2,4,6-trinitro-1,3-dimethyl-5-{\it tert}-butylbenzene",XMWRWTSZNLOZFN-UHFFFAOYSA-N,3.2E-01
2-nitrophenol,IQUPABOKLQSFBK-UHFFFAOYSA-N,1.4E+00
3-nitrophenol,RTZZCYNQPHTPPL-UHFFFAOYSA-N,1.6E+02
4-nitrophenol,BTJIUGUIPKRLHP-UHFFFAOYSA-N,2.1E+02
3-methyl-2-nitrophenol,QIORDSKCCHRSSD-UHFFFAOYSA-N,3.2E+00
4-methyl-2-nitrophenol,SYDNSSSQVSOXTN-UHFFFAOYSA-N,6.7E-01
5-methyl-2-nitrophenol,NQXUSSVLFOBRSE-UHFFFAOYSA-N,7.7E-01
6-methyl-2-nitrophenol,AQDKZPFDOWHRDZ-UHFFFAOYSA-N,2.9E-01
3-methyl-4-nitrophenol,PIIZYNQECPTVEO-UHFFFAOYSA-N,6.2E+02
4-methoxy-2-nitrophenol,YBUGOACXDPDUIR-UHFFFAOYSA-N,5.3E+00
4-hydroxy-3-nitro-benzaldehyde,YTHJCZRFJGXPTL-UHFFFAOYSA-N,9.4E+00
"2,4-dinitrophenol",UFBJCMHMOXMLKC-UHFFFAOYSA-N,1.1E+02
"2,5-dinitrophenol",UWEZBKLLMKVIPI-UHFFFAOYSA-N,1.5E+01
picramic acid,QXYMVUZOGFVPGH-UHFFFAOYSA-N,1.0E+06
4-amino-2-nitrophenol,WHODQVWERNSQEO-UHFFFAOYSA-N,4.5E+06
2-amino-5-nitrophenol,DOPJTDJKZNWLRB-UHFFFAOYSA-N,1.3E+07
2-amino-4-nitrophenol,VLZVIIYRNMWPSN-UHFFFAOYSA-N,4.5E+06
4-nitro-$o$-phenylenediamine,RAUWPNXIALNKQM-UHFFFAOYSA-N,1.3E+06
"4-nitrobenzene-1,3-diamine",DPIZKMGPXNXSGL-UHFFFAOYSA-N,1.7E+05
"2-nitro-1,4-benzenediamine",HVHNMNGARPCGGD-UHFFFAOYSA-N,1.7E+05
"4-methyl-2,6-dinitrophenol",HOYRZHJJAHRMLL-UHFFFAOYSA-N,1.9E+02
"2-methyl-4,6-dinitrophenol",ZXVONLUNISGICL-UHFFFAOYSA-N,4.3E+01
"2,4,6-trinitrobenzoic acid",KAQBNBSMMVTKRN-UHFFFAOYSA-N,3.8E+08
5-nitrobenzimidazole,XPAZGLFMMUODDK-UHFFFAOYSA-N,2.7E+01
4-nitrobenzoic acid,OTLNPYWUJOZPPA-UHFFFAOYSA-N,2.6E+04
dinitrotoluene,MOSFIJXAXDLOML-UHFFFAOYSA-N,1.1E+02
"1-methyl-3,5-dinitrobenzene",RUIFULUFLANOCI-UHFFFAOYSA-N,1.1E+02
1-methoxy-2-nitrobenzene,CFBYEGUGFPZCNF-UHFFFAOYSA-N,2.3E+01
2-methyl-5-nitrobenzenamine,DSBIJCMXAIKKKI-UHFFFAOYSA-N,1.2E+03
2-methoxy-5-nitrobenzenamine,NIPDVSLAMPAWTP-UHFFFAOYSA-N,7.6E+02
(2-nitroethenyl)benzene,PIAOLBVUVDXHHL-UHFFFAOYSA-N,2.8E+00
"1,2-dimethyl-3-nitrobenzene",FVHAWXWFPBPFOS-UHFFFAOYSA-N,1.9E-01
"1,2-dimethyl-4-nitrobenzene",HFZKOYWDLDYELC-UHFFFAOYSA-N,3.9E-01
"1,4-dimethyl-2-nitrobenzene",BSFHJMGROOFSRA-UHFFFAOYSA-N,3.9E-01
"2,4-dimethyl-1-nitrobenzene",BBUPBICWUURTNP-UHFFFAOYSA-N,3.9E-01
4-methyl-2-nitroanisole,LGNMURXRPLMVJI-UHFFFAOYSA-N,7.2E+00
1-(1-methylethyl)-4-nitrobenzene,JXMYUMNAEKRMIP-UHFFFAOYSA-N,2.4E-01
"2-(1-methylpropyl)-4,6-dinitrophenol",OWZPCEFYPSAJFR-UHFFFAOYSA-N,2.2E+00
1-nitronaphthalene,RJKGJBPXVHTNJL-UHFFFAOYSA-N,5.6E+00
dinoterb,IIPZYDQGBIWLBU-UHFFFAOYSA-N,9.3E-01
4-(1-methylpropyl)-2-nitrophenol,GCDCKEORRIGZKI-UHFFFAOYSA-N,1.0E-01
musk ambrette (artificial),SUAUILGSCPYJCS-UHFFFAOYSA-N,1.4E+01
bis($p$-nitrophenyl) ether,MWAGUKZCDDRDCS-UHFFFAOYSA-N,5.4E+03
4-nitro-N-phenylbenzenamine,XXYMSQQCBUKFHE-UHFFFAOYSA-N,2.4E+03
"2-cyclohexyl-4,6-dinitrophenol",QJYHUJAGJUHXJN-UHFFFAOYSA-N,1.8E+02
dipicrylamine,CBCIHIVRDWLAME-UHFFFAOYSA-N,4.3E+11
"1,2-dihydro-5-nitroacenaphthylene",CUARLQDWYSRQDF-UHFFFAOYSA-N,9.0E+00
"4-nitro-1,1'-biphenyl",BAJQRLZAPXASRD-UHFFFAOYSA-N,2.8E+00
2-nitro-9H-fluorene,XFOHWECQTFIEIX-UHFFFAOYSA-N,3.4E+01
"5-{\it tert}-butyl-4,6-dinitro-1,2,3-trimethylbenzene",MINYPECWDZURGR-UHFFFAOYSA-N,3.4E+01
penoxaline,CHIFOSRWCNZCFN-UHFFFAOYSA-N,1.2E+01
"2,6-dinitro-4-octylphenol",NYGISSDEOKKXOE-UHFFFAOYSA-N,1.6E+04
musk ketone,WXCMHFPAUCOJIG-UHFFFAOYSA-N,3.0E+00
moskene,UHWURQRPEIFIAK-UHFFFAOYSA-N,4.8E+01
9-ethyl-3-nitrocarbazole,WONHLSYSHMRRGO-UHFFFAOYSA-N,3.3E+02
"1-[(2,4-dinitrophenyl)azo]-2-naphthol",HBHZKFOUIUMKHV-UHFFFAOYSA-N,1.1E+09
"3,7-dinitrofluoranthene",WAAHHGKGQYVTNS-UHFFFAOYSA-N,4.9E+04
"1,6-dinitropyrene",GUXACCKTQWVTLG-UHFFFAOYSA-N,7.6E+04
"1,8-dinitropyrene",BLYXNIHKOMELAP-UHFFFAOYSA-N,7.6E+04
1-nitropyrene,ALRLPDGCPYIVHP-UHFFFAOYSA-N,3.9E+02
4-nitropyrene,UISKIUIWPSPSAV-UHFFFAOYSA-N,3.9E+02
1-[(4-methyl-2-nitrophenyl)azo]-2-naphthalenol,ZLFVRXUOSPRRKQ-UHFFFAOYSA-N,8.2E+06
phenyl 1-hydroxy-4-nitro-2-naphthoate,DMPUGHYNLCGVPX-UHFFFAOYSA-N,1.5E+04
6-nitrochrysene,UAWLTQJFZUYROA-UHFFFAOYSA-N,6.6E+02
1-nitrobenzo[$a$]pyrene,ICKISBPYFVBVQG-UHFFFAOYSA-N,3.1E+03
3-nitrobenzo[$a$]pyrene,CQIJHYPCKYZMIV-UHFFFAOYSA-N,3.1E+03
6-nitrobenzo[$a$]pyrene,NMMAFYSZGOFZCM-UHFFFAOYSA-N,3.1E+03
fluoromethane,NBVXSUQYWXRMNV-UHFFFAOYSA-N,6.1E-04
difluoromethane,RWRIWBAIICGTTQ-UHFFFAOYSA-N,6.9E-04
trifluoromethane,XPDWGBQVDMORPB-UHFFFAOYSA-N,1.3E-04
tetrafluoromethane,TXEYQDLBPFQVAA-UHFFFAOYSA-N,2.1E-06
fluoroethane,UHCBBWUQDAVSMS-UHFFFAOYSA-N,4.8E-04
"1,1-difluoroethane",NPNPZTNLOVBDOC-UHFFFAOYSA-N,5.3E-04
"1,1,1,2-tetrafluoroethane",LVGUZGTVOIAKKC-UHFFFAOYSA-N,1.8E-04
pentafluoroethane,GTLACDSXYULKMZ-UHFFFAOYSA-N,3.5E-05
hexafluoroethane,WMIYKQLTONQJES-UHFFFAOYSA-N,6.5E-07
1-fluoropropane,JRHNUZCXXOTJCA-UHFFFAOYSA-N,5.7E-04
2-fluoropropane,PRNZBCYBKGCOFI-UHFFFAOYSA-N,2.5E-04
"1,1,1,2,2-pentafluoropropane",FDOPVENYMZRARC-UHFFFAOYSA-N,3.0E-01
"1,1,1,3,3,3-hexafluoropropane",NSGXIBWMJZWTPY-UHFFFAOYSA-N,1.2E-06
"1,1,1,2,3,3,3-heptafluoropropane",YFMFNYKEUDLDTL-UHFFFAOYSA-N,1.4E-05
octafluoropropane,QYSGYZVSCZSLHT-UHFFFAOYSA-N,1.2E-07
octafluorocyclobutane,BCCOBQSFUDVTJQ-UHFFFAOYSA-N,1.3E-06
dodecafluoropentane,NJCBUSHGCBERSK-UHFFFAOYSA-N,6.1E-06
fluorocyclohexane,GOBGVVAHHOUMDK-UHFFFAOYSA-N,1.3E-03
1-fluoroheptane,BITLXSQYFZTQGC-UHFFFAOYSA-N,2.7E-04
hexadecafluoroheptane,LGUZHRODIJCVOC-UHFFFAOYSA-N,1.9E-07
1-fluorooctane,DHIVLKMGKIZOHF-UHFFFAOYSA-N,1.5E-04
eicosafluorononane,UVWPNDVAQBNQBG-UHFFFAOYSA-N,4.5E-09
perfluoroundecane,VCIVYCHKSHULON-UHFFFAOYSA-N,1.3E-13
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-henicosafluorododecane",HUPGRQWHZOWFPQ-UHFFFAOYSA-N,5.1E-10
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorotetradecane",WRYIIOKOQSICTB-UHFFFAOYSA-N,6.4E-07
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoroicosane",BREOHRVZEZMFOB-UHFFFAOYSA-N,2.5E-07
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorodocosane",ZKYMFADZZFTYJH-UHFFFAOYSA-N,2.0E-07
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorotetracosane",FTECWCULPOFDJS-UHFFFAOYSA-N,4.0E-09
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-henicosafluorohexacosane",LZENXKBSJNMIKY-UHFFFAOYSA-N,3.2E-11
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,\+10,10,11,11,12,12-pentacosafluorohexacosane",inchikey,1.6E-13
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,\+10,10,11,11,12,12-pentacosafluorooctacosane",CZCMNCOQMXNFTL-UHFFFAOYSA-N,8.0E-14
"1,1-difluoroethene",BQCIDUSAKPWEOX-UHFFFAOYSA-N,2.5E-05
tetrafluoroethene,BFKJFAAPBSQJPD-UHFFFAOYSA-N,1.6E-05
hexafluoropropene,HCDGVLDPFQMKDK-UHFFFAOYSA-N,2.9E-06
(perfluorobutyl)ethene,GVEUEBXMTMZVSD-UHFFFAOYSA-N,9.0E-08
(perfluorohexyl)ethene,FYQFWFHDPNXORA-UHFFFAOYSA-N,5.3E-07
(perfluorooctyl)ethene,NKAMGQZDVMQEJL-UHFFFAOYSA-N,1.4E-07
(perfluorodecyl)ethene,UCHSAVGOZUCXHC-UHFFFAOYSA-N,3.3E-08
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,\+10,10,11,11,12,12-pentacosafluorooctacos-13-ene",LBVDHZOJOFOXJM-FOCLMDBBSA-N,8.0E-11
fluorobenzene,PYLWMHQQBFSUBP-UHFFFAOYSA-N,1.6E-03
"1,2-difluorobenzene",GOYDNIKZWGIXJT-UHFFFAOYSA-N,1.2E-03
"1,3-difluorobenzene",UEMGWPRHOOEKTA-UHFFFAOYSA-N,1.3E-03
"1,4-difluorobenzene",QUGUFLJIAFISSW-UHFFFAOYSA-N,1.6E-03
"1,2,3,5-tetrafluorobenzene",UHHYOKRQTQBKSB-UHFFFAOYSA-N,5.0E-04
"1,2,4,5-tetrafluorobenzene",SDXUIOOHCIQXRP-UHFFFAOYSA-N,7.0E-04
pentafluorobenzene,WACNXHCZHTVBJM-UHFFFAOYSA-N,7.5E-04
hexafluorobenzene,ZQBFAOFFOQMSGJ-UHFFFAOYSA-N,5.5E-04
(trifluoromethyl)-benzene,GETTZEONDQJALK-UHFFFAOYSA-N,5.8E-04
decafluorobiphenyl,ONUFSRWQCKNVSL-UHFFFAOYSA-N,6.7E-03
carbonyl fluoride,IYRWEQXVUNLMAY-UHFFFAOYSA-N,3.5E-01
formyl fluoride,NHGVZTMBVDFPHJ-UHFFFAOYSA-N,3.0E-02
2-fluoroethanol,GGDYAKVUZMZKRV-UHFFFAOYSA-N,1.4E+00
"2,2,2-trifluoroethanol",RHQDFWAXVIIEBN-UHFFFAOYSA-N,4.7E-01
"1,1,1-trifluoro-2-propanol",GILIYJDBJZWGBG-UHFFFAOYSA-N,4.5E-01
"2,2,3,3-tetrafluoro-1-propanol",NBUKAOOFKZFCGD-UHFFFAOYSA-N,1.4E+00
"2,2,3,3,3-pentafluoro-1-propanol",PSQZJKGXDGNDFP-UHFFFAOYSA-N,1.4E-01
"1,1,1,3,3,3-hexafluoro-2-propanol",BYEAHWXPCBROCE-UHFFFAOYSA-N,2.4E-01
trifluoroacetylfluoride,DCEPGADSNJKOJK-UHFFFAOYSA-N,3.0E-02
"1,1,1-trifluoro-2-propanone",FHUDAMLDXFJHJE-UHFFFAOYSA-N,1.4E+00
fluoroethanoic acid,QEWYKACRFQMRMB-UHFFFAOYSA-N,8.0E+02
difluoroethanoic acid,PBWZKZYHONABLN-UHFFFAOYSA-N,3.0E+02
trifluoroethanoic acid,DTQVDTLACAAQTR-UHFFFAOYSA-N,8.9E+01
perfluorohexanoic acid,PXUULQAPEKKVAH-UHFFFAOYSA-N,4.4E-01
perfluoroheptanoic acid,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,5.7E-04
pentadecafluorooctanoic acid,SNGREZUHAYWORS-UHFFFAOYSA-N,4.9E-02
perfluorononanoic acid,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,4.3E-02
perfluorodecanoic acid,PCIUEQPBYFRTEM-UHFFFAOYSA-N,2.5E-02
perfluoroundecanoic acid,SIDINRCMMRKXGQ-UHFFFAOYSA-N,1.3E-02
perfluorododecanoic acid,CXGONMQFMIYUJR-UHFFFAOYSA-N,6.4E-03
perfluorotetradecanoic acid,RUDINRUXCKIXAJ-UHFFFAOYSA-N,1.6E-03
"ethyl 2,2,2-trifluoroethyl ether",ZKNHDJMXIUOHLX-UHFFFAOYSA-N,7.2E-04
"(2,2,2-trifluoroethoxy)-ethene",DLEGDLSLRSOURQ-UHFFFAOYSA-N,5.4E-04
"2,2,2-trifluoroethyl methanoate",CAFROQYMUICGNO-UHFFFAOYSA-N,5.4E-03
"2,2,2-trifluoroethyl ethanoate",ZOWSJJBOQDKOHI-UHFFFAOYSA-N,5.5E-03
"trifluoroethanoic acid, methyl ester",VMVNZNXAVJHNDJ-UHFFFAOYSA-N,1.1E-03
"trifluoroethanoic acid, ethyl ester",STSCVKRWJPWALQ-UHFFFAOYSA-N,8.9E-04
trifluoro(trifluoromethyl)-oxirane,PGFXOWRDDHCDTE-UHFFFAOYSA-N,8.8E-06
heptafluorobutanoic acid,YPJUNDFVDDCYIH-UHFFFAOYSA-N,8.2E-02
"3,3,4,4,4-pentafluorobutan-1-ol",JPMHUDBOKDBBLG-UHFFFAOYSA-N,5.1E-02
"1,1,1,2,2,3,4,5,5,5-decafluoropentane",RIQRGMUSBYGDBL-UHFFFAOYSA-N,4.4E-08
"1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane",OKIYQFLILPKULA-UHFFFAOYSA-N,9.9E-06
"1-ethoxy-1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propane",SQEGLLMNIBLLNQ-UHFFFAOYSA-N,7.5E-06
"1H,1H,2H,2H-perfluorohexan-1-ol",JCMNMOBHVPONLD-UHFFFAOYSA-N,6.6E-03
"1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",DFUYAWQUODQGFF-UHFFFAOYSA-N,7.5E-06
"1H,1H,2H,2H-perfluorooctan-1-ol",GRJRKPMIRMSBNK-UHFFFAOYSA-N,1.7E-04
"methyl perfluoro(8-(fluoroformyl)-5-methyl-4,7-dioxanonanoate)",JOMJXRTUQWIHQD-UHFFFAOYSA-N,5.8E-02
"3,3,4,4,5,5,6,6,6-nonafluorohexyl methacrylate",TYNRPOFACABVSI-UHFFFAOYSA-N,3.4E-05
"1H,1H,2H,2H-perfluorodecan-1-ol",JJUBFBTUBACDHW-UHFFFAOYSA-N,2.0E-04
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate",VPKQPPJQTZJZDB-UHFFFAOYSA-N,1.9E-06
2-(perfluorohexyl)ethyl methacrylate,CDXFIRXEAJABAZ-UHFFFAOYSA-N,1.2E-06
"1,1,2,2-tetrahydroperfluoro dodecanol",FLXYIZWPNQYPIT-UHFFFAOYSA-N,1.3E-04
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl acrylate",QUKRIOLKOHUUBM-UHFFFAOYSA-N,7.0E-08
