1,2
C7H6N2O5,3.2 ×102
"(2,6-dinitro-p-cresol)",3.4×103
[609-93-8],8.8 ×101
"2-methyl-4,6-dinitrophenol",4.3×10
C7H6N2O5,7.0
"(6-methyl-2,4-dinitrophenol; 4,6-",9.2×101
dinitro-o-cresol; DNOC),
[534-52-1],2.3 ×101
"2,4,6-trinitrobenzoic acid",3.8 ×108
C7H3N3O8,
[129-66-8],
5-nitrobenzimidazole,2.7×101
C7H5N3O2,
[94-52-0],
4-nitrobenzoic acid,2.6 ×104
C7H5NO4,
[62-23-7],
dinitrotoluene,1.1 102×
C7H6N2O4,
[25321-14-6],
"1-methyl-3,5-dinitrobenzene",1.1 102×
C7H6N2O4,
[618-85-9],
1-methoxy-2-nitrobenzene,2.3 101×
C7H7NO3,
[91-23-6],
2-methyl-5-nitrobenzenamine,1.2×103
C7H8N2O2,
(5-nitro-o-toluidine),
[99-55-8],
2-methoxy-5-nitrobenzenamine,7.6 ×102
C7H8N2O3,
(5-nitro-o-anisidine),
[99-59-2],
(2-nitroethenyl)benzene,2.8
C8H7NO2,
[102-96-5],
"1,2-dimethyl-3-nitrobenzene",1.9×10
C8H9NO2,3.9×10−1
[83-41-0],2.9 ×10−1
"1,2-dimethyl-4-nitrobenzene",3.9×10−1
C8H9NO2,3.1×10−1
[99-51-4],8.0 10−1×
"1,4-dimethyl-2-nitrobenzene",3.9×10−1
C8H9NO2,2.5×10−1
[89-58-7],2.2 ×10−1
"2,4-dimethyl-1-nitrobenzene",3.9×10−1
C8H9NO2,3.1×10−1
[89-87-2],4.3 10−1×
4-methyl-2-nitroanisole,7.2
C8H9NO3,1.6
[119-10-8],6.0 101×
1-(1-methylethyl)-4-nitrobenzene,2.4 ×10−1
C9H11NO2,1.3×10−1
[1817-47-6],3.9×10−1
"2-(1-methylpropyl)-4,6-dinitrophenol",2.2
C10H12N2O5,2.0×10−2
(dinoseb),1.4 102×
[88-85-7],5.2×102
1-nitronaphthalene,5.6
C10H7NO2,
[86-57-7],2.9 ×10−1
dinoterb,9.3×10−1
C10H12N2O5,
[1420-07-1],
4-(1-methylpropyl)-2-nitrophenol,1.0×10
C10H13NO3,2.4×10−1
(4-sec-butyl-2-nitrophenol),
[3555-18-8],
musk ambrette (artificial),1.4 101×
C12H16N2O5,7.0 ×102
[83-66-9],2.4
bis(p-nitrophenyl) ether,5.4×103
C12H8N 2 O5,2.3×102
[101-63-3],3.0 ×103
4-nitro-N-phenylbenzenamine,2.4×103
C12H10N2O2,1.7×102
[836-30-6],2.9×104
"2-cyclohexyl-4,6-dinitrophenol",1.8 ×102
C12H14N2O5,
[131-89-5],
dipicrylamine,4.3 1011×
C12H5N7O12,
"(2,2’,4,4’,6,6’-",
hexanitrodiphenylamine),
[131-73-7],
"1,2-dihydro-5-nitroacenaphthylene",9.0
C12H9NO2,
(5-nitroacenaphthene),
[602-87-9],
"4-nitro-1,1’-biphenyl",2.8
C12H9NO2,
[92-93-3],
2-nitro-9H-fluorene,3.4 101×
C13H9NO2,
[607-57-8],
"5-tert-butyl-4,6-dinitro-1,2,3-",3.4 101×
trimethylbenzene,
C13H18N2O4,2.1
[145-39-1],4.6×10−2
penoxaline,1.2 ×101
C 13 H 19 N 3 O4,2.7 ×10−1
(pendimethalin),4.8
[40487-42-1],
"2,6-dinitro-4-octylphenol",1.6×10
C14H20N2O5,
[4097-33-0],
musk ketone,3.0
C14H18N2O5,5.2×103
[81-14-1],2.1×104
moskene,4.8×101
C14H18N2O4,1.4×101
[116-66-5],7.5 ×10−1
9-ethyl-3-nitrocarbazole,3.3×102
C14H12N2O2,6.9 ×102
[86-20-4],1.1 103×
"1-[(2,4-dinitrophenyl)azo]-2-naphthol",1.1×109
C16H10N4O5,
(C.I. pigment orange 5),
[3468-63-1],
"3,7-dinitrofluoranthene",4.9×104
C16H8N2O4,
[105735-71-5],
"1,6-dinitropyrene",7.6 ×104
C16H8N2O4,
[42397-64-8],
"1,8-dinitropyrene",7.6 104×
C16H8N2O4,
[42397-65-9],
1-nitropyrene,3.9×102
C16H9NO2,
[5522-43-0],
4-nitropyrene,3.9×102
C16H9NO2,
[57835-92-4],
1-[(4-methyl-2-nitrophenyl)azo]-2-,8.2×106
naphthalenol,
C17H13N3O3,
(C.I. Pigment Red 3),
[2425-85-6],
phenyl 1-hydroxy-4-nitro-2-naphthoate,1.5×10
C17H11NO5,6.7×105
[65208-34-6],1.1×102
6-nitrochrysene,6.6×102
C18H11NO2,
[7496-02-8],
1-nitrobenzo[a]pyrene,3.1 103×
C20H11NO2,
[70021-99-7],
3-nitrobenzo[a]pyrene,3.1 103×
C20H11NO2,
[70021-98-6],
6-nitrobenzo[a]pyrene,3.1 103×
C20H11NO2,
[63041-90-7],
Org,anic spe
fluoromethane,6.1×10−4
CH3F,6.1×10−4
[593-53-3],5.8×10−4
difluoromethane,6.9×10−4
CH2F2,6.9×10−4
(R32),8.4×10−4
[75-10-5],
trifluoromethane,1.3×10
CHF3,1.3×10−4
(R23),1.4 ×10−4
[75-46-7],1.2×10−4
tetrafluoromethane,2.1 ×10−6
CF4,2.1×10−6
(carbontetrafluoride),2.1 ×10−6
[75-73-0],2.0×10−6
fluoroethane,4.8×10−4
C2H5F,4.4×10−4
[353-36-6],
"1,1-difluoroethane",5.3×10−4
C 2 H 4 F2,5.0 ×10−4
(R152a),5.0 10−4×
[75-37-6],4.2×10−4
"1,1,1,2-tetrafluoroethane",1.8×10
C 2 H 2 F4,1.6 ×10−4
(R134a),1.6 10−4×
[811-97-2],2.0×10−4
pentafluoroethane,3.5×10−5
C2HF5,8.0×10−5
(R125),2.0 ×10−4
[354-33-6],3.2 ×10−6
hexafluoroethane,6.5 ×10−7
C2F6,5.3×10−7
[76-16-4],5.7×10−7
1-fluoropropane,5.7×10−4
C3H7F,6.1 ×10−4
[460-13-9],
2-fluoropropane,2.5×10−4
C3H7F,5.8×10−4
[420-26-8],
"1,1,1,2,2-pentafluoropropane",3.0 10−1×
C3H3F5,
[1814-88-6],
"1,1,1,3,3,3-hexafluoropropane",1.2 10−6×
C3H2F6,3.9×10−5
[690-39-1],1.8 10−4×
"1,1,1,2,3,3,3-heptafluoropropane",1.4 ×10−5
C 3 HF7,6.2 ×10−7
(R227),
[431-89-0],
octafluoropropane,1.2×10
C3F8,3.0×10−7
(R218),7.7 ×10−8
[76-19-7],1.0 10−5×
octafluorocyclobutane,1.3×10−6
C4F8,1.3×10−6
[115-25-3],1.2 10−6×
dodecafluoropentane,6.1×10−6
C5F12,
[678-26-2],
fluorocyclohexane,1.3 10−3×
C6H11F,
[372-46-3],
1-fluoroheptane,2.7 10−4×
C7H15F,
[661-11-0],
hexadecafluoroheptane,1.9 10−7×
C7F16,
[335-57-9],
1-fluorooctane,1.5 ×10−4
C8H17F,
[463-11-6],
eicosafluorononane,4.5 10−9×
C9F20,
[375-96-2],
perfluoroundecane,1.3 10−13×
C 11 F24,1.2 ×10−11
[307-49-3],1.2 10−9×
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-",5.1 10−10×
henicosafluorododecane,
C12H5F21,
(F10H2),
"1,1,1,2,2,3,3,4,4,5,5,6,6-",6.4×10
tridecafluorotetradecane,
C14H17F13,
(F6H8),
[133331-77-8],
"1,1,1,2,2,3,3,4,4,5,5,6,6-",2.5×10−7
tridecafluoroicosane,
C20H29F13,
(F6H14),
[154628-00-9],
"1,1,1,2,2,3,3,4,4,5,5,6,6-",2.0 ×10−7
tridecafluorodocosane,
C22H33F13,
(F6H16),
[133310-71-1],
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-",4.0 10−9×
heptadecafluorotetracosane,
C24H33F17,
(F8H16),
[117146-18-6],
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-",3.2 ×10−11
henicosafluorohexacosane,
C26H33F21,
(F10H16),
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,",1.6×10−13
"10,10,11,11,12,12-",
pentacosafluorohexacosane,
C26H29F25,
(F12H14),
[93454-73-0],
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,",8.0×10−14
"10,10,11,11,12,12-",
pentacosafluorooctacosane,
C28H33F25,
(F12H16),
"1,1-difluoroethene",2.5×10−5
C2H2F2,5.1×10−5
[75-38-7],2.5×10−5
tetrafluoroethene,1.6 10−5×
C2F4,1.6×10−5
[116-14-3],9.8 10−6×
hexafluoropropene,2.9×10
C3F6,6.8 ×10−6
[116-15-4],1.8 ×10−6
(perfluorobutyl)ethene,9.0 10−8×
C6H3F9,8.8 ×10−8
(4:2 FTO),3.3 10−6×
[19430-93-4],8.6×10−6
(perfluorohexyl)ethene,5.3 10−7×
C8H3F13,
(6:2 FTO),
[25291-17-2],
(perfluorooctyl)ethene,1.4 ×10−7
C10H3F17,
(8:2 FTO),
[21652-58-4],
(perfluorodecyl)ethene,3.3×10−8
C12H3F21,
(10:2 FTO),
[30389-25-4],
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,",8.0 ×10−11
"10,10,11,11,12,12-",
pentacosafluorooctacos-13-ene,
C28H31F25,
fluorobenzene,1.6 10−3×
C 6 H 5F,1.6 ×10−3
[462-06-6],1.4×10−3
"1,2-difluorobenzene",1.2×10
C 6 H 4 F2,2.2×10−3
(o-difluorobenzene),1.4 ×10−3
[367-11-3],
"1,3-difluorobenzene",1.3×10−3
C6H4F2,1.3×10−4
(m-difluorobenzene),
[372-18-9],
"1,4-difluorobenzene",1.6×10−3
C 6 H 4 F2,1.8 ×10−3
(p-difluorobenzene),1.3 ×10−3
[540-36-3],
"1,2,3,5-tetrafluorobenzene",5.0 ×10−4
C6H2F4,
[2367-82-0],
"1,2,4,5-tetrafluorobenzene",7.0 10−4×
C6H2F4,
[327-54-8],
pentafluorobenzene,7.5 ×10−4
C6HF5,
[363-72-4],
hexafluorobenzene,5.5 ×10−4
C6F6,
[392-56-3],
(trifluoromethyl)-benzene,5.8 10−4×
C6H5CF3,6.1×10−4
"(α,α,α-trifluorotoluene)",6.2 10−4×
[98-08-8],1.3 10−3×
decafluorobiphenyl,6.7 ×10−3
C10F10,
[434-90-2],
carbonyl fluoride,3.5 10−1×
COF2,9.9 ×10−3
[353-50-4],2.0×10−1
formyl fluoride,3.0×10−2
FCHO,
[1493-02-3],
2-fluoroethanol,1.4
C2H5FO,2.5
[371-62-0],
"2,2,2-trifluoroethanol",4.7×10
CF3CH2OH,4.7×10−1
[75-89-8],5.8 10−1×
"1,1,1-trifluoro-2-propanol",4.5×10−1
CF3CHOHCH3,2.2×10−1
[374-01-6],
"2,2,3,3-tetrafluoro-1-propanol",1.4
CHF2CF2CH2OH,1.4
[76-37-9],1.6
"2,2,3,3,3-pentafluoro-1-propanol",1.4 10−1×
CF3CF2CH2OH,1.4×10−1
[422-05-9],4.5×10−1
"1,1,1,3,3,3-hexafluoro-2-propanol",2.4 10−1×
CF3CHOHCF3,2.5×10−2
[920-66-1],
trifluoroacetylfluoride,3.0×10−2
CF 3COF,9.5 ×10−3
[354-34-7],3.0 ×10−2
"1,1,1-trifluoro-2-propanone",1.4
CF3COCH3,1.4
[421-50-1],
fluoroethanoic acid,8.0×102
CH2FCOOH,8.0×102
(fluoroacetic acid),5.4 ×102
[144-49-0],
difluoroethanoic acid,3.0×10
CHF2COOH,3.0×102
(difluoroacetic acid),7.2 101×
[381-73-7],
trifluoroethanoic acid,8.9 ×101
CF3COOH,5.7×101
(trifluoroacetic acid),8.8×101
[76-05-1],2.3
perfluorohexanoic acid,4.4 ×10−1
C 6 HF11O2,1.2×10−1
[307-24-4],
perfluoroheptanoic acid,5.7×10−4
C7HF13O2,5.0×10−2
[375-85-9],2.2×10−2
pentadecafluorooctanoic acid,4.9 ×10−2
C8HF15O2,4.0×10−1
(perfluorooctanoic acid; PFOA),1.1 10−4×
[335-67-1],1.0×10−2
perfluorononanoic acid,4.3 10−2×
C9HF17O2,5.3×10−3
[375-95-1],
perfluorodecanoic acid,2.5 10−2×
C 10 HF19O2,1.1×10−3
[335-76-2],
perfluoroundecanoic acid,1.3 10−2×
C11HF21O2,1.9×10−4
[2058-94-8],
perfluorododecanoic acid,6.4×10
C12HF23O2,
[307-55-1],
perfluorotetradecanoic acid,1.6×10−3
C14HF27O2,
[376-06-7],
"ethyl 2,2,2-trifluoroethyl ether",7.2 10−4×
C4H7F3O,
[461-24-5],
"(2,2,2-trifluoroethoxy)-ethene",5.4 10−4×
CF3CH2OCHCH2,3.3×10−4
(fluoroxene),5.5×10−4
[406-90-6],3.2×10−4
"2,2,2-trifluoroethyl methanoate",5.4 10−3×
C 3 H 3 F 3 O2,5.4 ×10−3
[32042-38-9],
"2,2,2-trifluoroethyl ethanoate",5.5 ×10−3
C4H5F3O2,5.7×10−3
[406-95-1],
"trifluoroethanoic acid, methyl ester",1.1 10−3×
CF3COOCH3,1.2×10−3
(methyl trifluoroacetate),
[431-47-0],
"trifluoroethanoic acid, ethyl ester",8.9 10−4×
CF3COOC2H5,8.9×10−4
(ethyl trifluoroacetate),
[383-63-1],
trifluoro(trifluoromethyl)-oxirane,8.8×10−6
C3F6O,
[428-59-1],
heptafluorobutanoic acid,8.2 ×10−2
C4HF7O2,7.2×10−1
[375-22-4],2.5 10−1×
"3,3,4,4,4-pentafluorobutan-1-ol",5.1 10−2×
C4H5OF5,3.7×10−1
[54949-74-5],4.0 ×10−2
"1,1,1,2,2,3,4,5,5,5-decafluoropentane",4.4×10
C5H2F10,3.2 ×10−5
[138495-42-8],1.8 10−4×
"1,1,1,2,2,3,3,4,4-nonafluoro-4-",9.9 ×10−6
methoxybutane,
C5H3F9O,1.3×10−5
[163702-07-6],8.4 10−6×
"1-ethoxy-1,1,2,3,3,3-hexafluoro-2-",7.5×10−6
(trifluoromethyl)propane,
C6H 5 F 9O,4.7 ×10−5
[163702-06-5],8.0 10−6×
"1H,1H,2H,2H-perfluorohexan-1-ol",6.6 10−3×
C6H5F9O,1.3×10−2
(4:2 FTOH),6.1 10−5×
[2043-47-2],5.6 ×10−1
"1-ethoxy-1,1,2,2,3,3,4,4,4-",7.5 ×10−6
nonafluorobutane,
C6H5F9O,1.2×10−5
[163702-05-4],7.5 10−6×
"1H,1H,2H,2H-perfluorooctan-1-ol",1.7×10−4
C 8 H 5 F 13O,1.5 ×10−3
(6:2 FTOH),8.5 ×10−5
[647-42-7],3.9 10−1×
methyl perfluoro(8-(fluoroformyl)-5-,5.8×10−2
"methyl-4,7-dioxanonanoate)",
C 10 H 3 F 15 O5,5.1 ×10−4
[69116-73-0],2.6×10−4
"3,3,4,4,5,5,6,6,6-nonafluorohexyl",3.4×10−5
methacrylate,
C10H9F9O2,1.6 ×10−3
[1799-84-4],6.5 ×10−4
"1H,1H,2H,2H-perfluorodecan-1-ol",2.0 10−4×
C 10 H 5 F 17O,1.7 ×10−4
(8:2 FTOH),2.4 10−1×
[678-39-7],1.1×10−4
"3,3,4,4,5,5,6,6,7,7,8,8,8-",1.9×10−6
tridecafluorooctyl acrylate,
C11H7F13O2,1.9×10−4
[17527-29-6],2.9 10−4×
2-(perfluorohexyl)ethyl methacrylate,1.2×10−6
C12H9F13O2,1.8×10−4
[2144-53-8],1.3 ×10−4
"1,1,2,2-tetrahydroperfluoro dodecanol",1.3 10−4×
C12H5F21O,2.5 ×10−1
(10:2 FTOH),8.6×10−8
[865-86-1],2.7 10−6×
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-",7.0 ×10−8
heptadecafluorodecyl acrylate,
C13H7F 17 O2,1.1×10−5
[27905-45-9],1.1 10−4×
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-",4.4 10−8×
heptadecafluorodecyl methacrylate,
C14H9F 17 O2,1.0 ×10−5
[1996-88-9],5.4 ×10−5
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,",3.1×10
"10,10,11,11,12,12,13,13,14,14,14-",
pentacosafluorotetradecan-1-ol,
C14H 5 F25O,1.1×10−8
[39239-77-5],3.1 ×10−5
2-(perfluorodecyl)ethyl acrylate,2.5×10−9
C15H7F21O2,3.1×10−7
[17741-60-5],2.4×10−5
"1,1,2,2-tetrahydroperfluoro-1-",1.1 10−10×
hexadecanol,
C16H5OF29,1.4×10−11
[60699-51-6],6.1×10−6
2-(perfluorodecyl)ethyl methacrylate,1.6 ×10−9
C16H9F21O2,3.1×10−7
[2144-54-9],1.1 10−5×
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,",9.0 10−11×
"10,10,11,11,12,12,13,13,14,14,14-",
pentacosafluorotetradecyl prop-2-,
enoate,
C17H7F25O2,5.0×10−9
[34395-24-9],2.7 10−3×
2-perfluorododecylethyl methacrylate,5.8 10−11×
C18H9F25O2,5.0×10−9
[6014-75-1],2.3×10−6
"1,1,2,2-tetrahydroperfluoro-1-",4.1×10−12
octadecanol,
C18H5OF33,6.7×10−15
[65104-67-8],1.2 ×10−6
"1,1,2,2-tetrahydroperfluorohexadecyl",3.3×10−12
acrylate,
C19H7F29O2,4.1 ×10−11
[34362-49-7],6.5 10−4×
"1,1,2,2-tetrahydroperfluoroeicosyl",1.5×10−13
alcohol,
C 20 H 5 OF37,2.2 ×10−18
[65104-65-6],2.4×10−7
2-hydroxyfluorobenzene,3.1
C6H5FO,2.3
(o-fluorophenol),2.1×102
[367-12-4],
4-hydroxyfluorobenzene,1.4×101
C6H5FO,7.9
(p-fluorophenol),2.1 ×102
[371-41-5],
3-fluorophenol,9.0
C6H5FO,
[372-20-3],
"2,6-difluorophenol",7.0×10−1
C6H4F2O,
[28177-48-2],
"4,4’-(hexafluoroisopropylidene)diphenol",1.7 104×
C15H10F6O2,1.7×104
[1478-61-1],1.4×106
perfluorotributylamine,1.8 10−10×
C12F27N,1.8×10−10
[311-89-7],3.4 10−10×
tris(undecafluoropentyl)amine,1.2 10−12×
C15F33N,1.0×10−12
[338-84-1],3.4 10−10×
2-fluoroacetamide,4.4×102
C2H4FNO,
[640-19-7],
5-fluorouracil,5.8 ×104
C4H3FN2O2,
[51-21-8],
"1-fluoro-2,4-dinitrobenzene",1.0×102
C6H3FN2O4,
[70-34-8],
5-fluoro-2-nitrophenol,5.0×10−1
C6H4FNO3,5.8
[446-36-6],
4-nitro-3-(trifluoromethyl)phenol,5.2×10
C 7 H4F3NO3,5.2×102
[88-30-2],6.7 ×103
1-nitro-3-(trifluoromethyl)benzene,5.3 10−2×
C7H4F3NO2,2.0×10−1
[98-46-4],5.7×10−2
1-isocyanato-3-(trifluoromethyl)-,4.8×10−3
benzene,
C8H4F3NO,2.5
[329-01-1],1.3×10−3
flonicamid,2.4×107
C9H6F3N3O,
[158062-67-0],
trifluridine,1.0×1011
C10H11F3N2O5,
[70-00-8],
N-(4-amino-2-hydroxyphenyl)-,2.0×108
"2,2,3,3,4,4,4-heptafluorobutanamide",
C10H7F7N2O2,2.3×107
[847-51-8],1.5 ×105
fluometuron,5.8 ×103
C10H11F3N2O,3.8×103
[2164-17-2],
dinitramine,7.1
C11H13F3N4O4,6.5
[29091-05-2],6.2
5-methyl-N-[4-,8.0 ×104
(trifluoromethyl)phenyl]-4-,
isoxazolecarboxamide,
C12H9F3N2O2,
(leflunomide),
[75706-12-6],
fluconazole,9.9 107×
C13H12F2N6O,
[86386-73-4],
ethalfluralin,7.6 10−2×
C13H14F3N3O4,
[55283-68-6],
benfluralin,3.4×10
C13H16F3N3O4,
(benefin),7.5×10−1
[1861-40-1],
trifluralin,9.5×10−2
C13H16F3N3O4,9.1×10−1
[1582-09-8],1.9×10−1
fluorodifen,
C13H7F3N2O5,6.5×102
[15457-05-3],
profluralin,3.4 10−2×
C14H16F3N3O4,3.2 ×10−2
[26399-36-0],2.6 ×10−2
flumequine,3.7×107
C14H12FNO3,
[42835-25-6],
flunitrazepam,4.3 5×10
C16H12FN3O3,
[1622-62-4],
fluazifop-butyl,4.7×101
C19H20F3NO4,
[69806-50-4],
flumioxazin,1.6 ×101
C19H15FN2O4,
[103361-09-7],
fluridone,2.8×103
C19H14F3NO,
[59756-60-4],
cyhalofop-butyl,1.0 ×103
C20H20FNO4,
[122008-85-9],
raltegravir,1.1×1017
C20H21FN6O5,
[518048-05-0],
fluacrypyrim,3.0×10
C20H21N2O5F3,
[229977-93-9],
trifloxystrobin,4.3 102×
C20H19F3N2O4,
[141517-21-7],
etoxazole,9.9×101
C21H23F2NO2,
[153233-91-1],
droperidol,3.7×1011
C22H22FN3O2,
[548-73-2],
paliperidone,1.2 1015×
C23H27FN4O3,
[144598-75-4],
risperidone,4.5 1010×
C23H27FN4O2,
[106266-06-2],
ezetimibe,2.2×1012
C24H21F2NO3,
[163222-33-1],
cerivastatin,1.7 1013×
C26H34FNO5,
[145599-86-6],
"flucythrinate, isomer 1",1.1×102
C26H23F2NO4,9.3×102
[70124-77-5],
PFBHA-methanal,1.6 10−2×
H2C=NOCH2C6F5,
PFBHA-ethanal,1.9 10−2×
CH3CH=NOCH2C6F5,
PFBHA-propanone,1.1 10−2×
(CH3)2C=NOCH2C6F5,
PFBHA-butanone,4.7×10−3
(C2H5)(CH3)C=NOCH2C6F5,
PFBHA-2-pentanone,3.7 10−3×
(C3H7)(CH3)C=NOCH2C6F5,
PFBHA-hexanal,5.8 10−3×
C5H11CH=NOCH2C6F5,
PFBHA-octanal,7.9×10−3
C7H15CH=NOCH2C6F5,
PFBHA-decanal,2.4×10
C9H19CH=NOCH2C6F5,
PFBHA-propenal,9.5 ×10−3
CH2CHCH=NOCH2C6F5,
PFBHA-crotonaldehyde,6.8 −3×10
CH3CHCHCH=NOCH2C6F5,
PFBHA-benzaldehyde,5.0×10−3
C6H5CH=NOCH2C6F5,
PFBHA-4-methyl-benzaldehyde,6.6×10−3
C8H8=NOCH2C6F5,
PFBHA-9-fluorenone,1.1 10−2×
C13H8=NOCH2C6F5,
PFBHA-ethanedial,1.6 10−2×
(HC=NOCH2C6F5)2,
PFBHA-1-hydroxypropanone,2.7 10−2×
(CH2OH)(CH3)C=NOCH2C6F5,
PFBHA-3-hydroxy-3-methyl-2-,1.2 ×10−2
butanone,
(HOC3H6)(CH3)C=NOCH2C6F5,
Org,anic spec
chloromethane,1.3×10−3
CH3Cl,1.1×10−3
(methyl chloride),1.3×10−3
[74-87-3],1.1 10−3×
dichloromethane,3.6 10−3×
CH2Cl2,3.9×10−3
(methylene chloride),3.6 10−3×
[75-09-2],3.6 10−3×
dichloromethane-d2,3.8 ×10−3
CD2Cl2,
(methylene chloride-d2),
[1665-00-5],
trichloromethane,2.5 10−3×
CHCl3,2.6×10−3
(chloroform),2.5×10−3
[67-66-3],2.5×10−3
tetrachloromethane,3.4 −4×10
CCl4,3.6×10−4
(carbontetrachloride),3.4×10−4
[56-23-5],3.4 10−4×
chloroethane,8.3 ×10−4
C2H5Cl,8.4 ×10−4
[75-00-3],8.3×10−4
"1,1-dichloroethane",1.7×10
CHCl 2 CH3,1.8 ×10−3
[75-34-3],1.6 ×10−3
"1,2-dichloroethane",8.9 10−3×
CH2ClCH2Cl,9.1×10−3
[107-06-2],7.8 10−3×
"1,2-dichloroethane-d4",8.7 10−3×
CD2ClCD2Cl,
[17060-07-0],
"1,1,1-trichloroethane",6.0×10
CH 3 CCl3,6.2 ×10−4
(methylchloroform; MCF),5.9 10−4×
[71-55-6],5.8 ×10−4
"1,1,2-trichloroethane",1.1×10−2
CHCl 2 CH 2Cl,1.2 ×10−2
[79-00-5],1.1 ×10−2
"1,1,2-trichloroethane-d3",1.3×10−2
CDCl2CD2Cl,
[171086-93-4],
"1,1,1,2-tetrachloroethane",4.2×10
CCl 3 CH 2Cl,2.4 ×10−2
[630-20-6],3.6×10−3
"1,1,2,2-tetrachloroethane",2.4×10−2
CHCl2CHCl2,2.4 ×10−2
[79-34-5],2.1 10−2×
pentachloroethane,4.5×10
CHCl2CCl3,5.9×10−3
[76-01-7],5.2 10−3×
hexachloroethane,2.5 10−3×
C 2 Cl6,1.2 ×10−3
[67-72-1],2.5 10−3×
1-chloropropane,6.9×10−4
C3H7Cl,4.3×10−4
[540-54-5],7.7×10−4
2-chloropropane,5.4×10−4
C3H7Cl,5.6 ×10−4
[75-29-6],5.5×10−4
"1,1-dichloropropane",2.6 10−3×
C3H6Cl2,
[78-99-9],
"1,2-dichloropropane",3.4×10−3
C3H6Cl2,3.4×10−3
[78-87-5],4.3×10−3
"1,2-dichloropropane-d6",3.6×10−3
C3D6Cl2,
[93952-08-0],
"1,3-dichloropropane",1.3 −2×10
C 3 H 6 Cl2,1.1 ×10−2
[142-28-9],1.0×10−2
"2,2-dichloropropane",4.4 ×10−4
C3H6Cl2,8.1×10−4
[594-20-7],7.1 10−4×
"1,1,1-trichloropropane",3.8×10−3
C3H5Cl3,1.1 ×10−3
[7789-89-1],
"1,1,2-trichloropropane",1.4 10−2×
C3H5Cl3,7.9 −3×10
[598-77-6],
"1,2,3-trichloropropane",3.6×10−2
C 3 H 5 Cl3,3.4 ×10−2
[96-18-4],4.2 10−2×
"1,1,2,2,3-pentachloropropane",1.4 ×10−2
C3H3Cl5,7.3×10−2
[16714-68-4],6.2 10−1×
1-chloro-2-methylpropane,8.3×10
C 4 H9Cl,7.3×10−4
[513-36-0],6.3 ×10−4
2-chloro-2-methylpropane,2.2 10−4×
C4H9Cl,3.1×10−4
[507-20-0],6.4×10−5
1-chlorobutane,6.7×10−4
C4H9Cl,5.3×10−4
[109-69-3],5.9 ×10−4
2-chlorobutane,4.1×10−4
C4H9Cl,5.3×10−4
[78-86-4],5.3×10−4
"1,1-dichlorobutane",1.3 ×10−3
C 4 H 8 Cl2,2.5 ×10−3
[541-33-3],9.2 ×10−4
"1,4-dichlorobutane",2.0×10−2
C4H8Cl2,2.6 ×10−2
[110-56-5],
"2,3-dichlorobutane",2.5 10−3×
C4H 8 Cl2,2.8×10−3
[7581-97-7],
1-chloropentane,4.2×10
C5H11Cl,4.1×10−4
[543-59-9],2.7 10−4×
2-chloropentane,3.6×10−4
C5H11Cl,4.8×10−4
[625-29-6],3.3 10−4×
3-chloropentane,3.8 10−4×
C5H11Cl,3.8×10−4
[616-20-6],4.7 10−4×
"1,2-dichloropentane",4.8 10−3×
C5H10Cl2,3.1×10−3
[1674-33-5],
"1,5-dichloropentane",1.8 10−2×
C5H10Cl2,2.0×10−2
[628-76-2],
"2,3-dichloropentane",2.9×10−3
C5H10Cl2,2.8×10−3
[600-11-3],
2-chloro-2-methylbutane,3.0×10−3
C5H11Cl,
[594-36-5],
1-chlorohexane,3.1×10−4
C6H13Cl,4.1×10−4
[544-10-5],6.1 ×10−4
2-chlorohexane,5.0 10−4×
C 6 H 13Cl,4.2 ×10−4
[638-28-8],
3-chlorohexane,5.0 10−4×
C6H13Cl,5.0×10−4
[2346-81-8],
1-chloroheptane,2.5 10−4×
C7H15Cl,5.1×10−4
[629-06-1],2.4 10−4×
2-chloroheptane,3.9×10−4
C7H15Cl,3.4 ×10−4
[1001-89-4],
3-chloroheptane,3.6 ×10−4
C7H15Cl,3.4×10−4
[999-52-0],
4-chloroheptane,3.6 ×10−4
C7H15Cl,3.5 ×10−4
[998-95-8],
1-chlorooctane,1.9 10−4×
C 8 H 17Cl,2.6 ×10−4
[111-85-3],1.6×10−4
2-chlorooctane,2.7 10−4×
C8H17Cl,3.1×10−4
[628-61-5],
3-(chloromethyl)-heptane,4.5 10−4×
C8H17Cl,
[123-04-6],
"1,8-dichlorooctane",7.5×10−3
C8H16Cl2,
[2162-99-4],
1-chlorononane,1.6 ×10−4
C9H19Cl,3.5×10−4
[2473-01-0],
2-chlorononane,2.7 10−4×
C9H19Cl,3.0 ×10−4
[2216-36-6],
5-chlorononane,2.2 10−4×
